policy_id,period,region,line_of_business,claims_paid,net_earned_premium,loss_ratio,client_name,risk_category,cause_of_loss,claim_status,settlement_date,gwp_usd,nep_usd,claims_paid_usd,combined_ratio,exposure,premium_rate,continent
CLM-409143,2006-01-05,Australia & Pacific,Motor,14796.7,18663.34,0.7928,Acentria Group,Nat Cat,Collision,Closed,2006-01-28,,18663.34,14796.7,0.7928,,1.0,Oceania
CLM-405012,2006-01-06,Australia & Pacific,Cyber,3006.63,8079.27,0.3721,AgriProtect,Political,Collision,Reopened,2006-07-24,,8079.27,3006.63,0.3721,,1.0,Oceania
CLM-404112,2006-01-06,Middle East & Africa,Motor,15485.5,25385.9,0.61,Metro Insurers,Credit,Marine Peril,Closed,2006-04-18,,25385.9,15485.5,0.61,,1.0,Asia
CLM-405630,2006-01-07,Kenya,Agriculture,23209.9,65664.72,0.3535,Coastal Mutual,Operational,Liability Claim,Closed,2006-02-01,,65664.72,23209.9,0.3535,,1.0,Africa
CLM-401114,2006-01-08,Kenya,Property,16283.01,22918.25,0.7105,Pinnacle Assurance,Credit,Marine Peril,Closed,2006-04-07,,22918.25,16283.01,0.7105,,1.0,Africa
CLM-410430,2006-01-08,Africa,Life,8996.72,17341.37,0.5188,Meridian Insurance (N. America),Operational,Hail,Reopened,2006-03-07,,17341.37,8996.72,0.5188,,1.0,Africa
CLM-405777,2006-01-09,Latin America,Cyber,927.99,1155.25,0.8033,Meridian Insurance (N. America),Market,Machinery Breakdown,Closed,2006-01-26,,1155.25,927.99,0.8033,,1.0,South America
CLM-404091,2006-01-09,Kenya,Agriculture,10899.86,17764.74,0.6136,Coastal Mutual,Credit,Liability Claim,Reopened,2006-01-26,,17764.74,10899.86,0.6136,,1.0,Africa
CLM-402928,2006-01-09,Latin America,Energy,2526.57,3279.19,0.7705,Meridian Insurance (N. America),Nat Cat,Flood,Closed,2006-03-12,,3279.19,2526.57,0.7705,,1.0,South America
CLM-406661,2006-01-10,Caribbean,Motor,20646.26,30648.02,0.6737,Pacifica Cover (Oceania),Operational,Theft,Open,,,30648.02,20646.26,0.6737,,1.0,North America
CLM-408466,2006-01-10,Asia Pacific,Credit & Surety,2140.36,3191.48,0.6706,Pinnacle Assurance,Political,Machinery Breakdown,Closed,2006-07-16,,3191.48,2140.36,0.6706,,1.0,Asia
CLM-405385,2006-01-11,Kenya,Cyber,28848.36,49525.84,0.5825,Baobab Insurance,Nat Cat,Windstorm,Under Review,,,49525.84,28848.36,0.5825,,1.0,Africa
CLM-412216,2006-01-11,Australia & Pacific,Engineering,4024.08,7575.34,0.5312,Zenith Cover,Credit,Fire,Closed,2006-02-16,,7575.34,4024.08,0.5312,,1.0,Oceania
CLM-408094,2006-01-12,Kenya,Health,38295.51,66098.37,0.5794,Pacifica Cover (Oceania),Credit,Flood,Closed,2006-02-13,,66098.37,38295.51,0.5794,,1.0,Africa
CLM-411676,2006-01-13,Australia & Pacific,Motor,29211.11,35995.37,0.8115,Metro Insurers,Nat Cat,Cyber Breach,Under Review,,,35995.37,29211.11,0.8115,,1.0,Oceania
CLM-411976,2006-01-13,Kenya,Life,9115.28,13758.12,0.6625,Zenith Cover,Operational,Liability Claim,Under Review,,,13758.12,9115.28,0.6625,,1.0,Africa
CLM-411219,2006-01-15,Caribbean,Motor,8886.26,12075.22,0.7359,Pinnacle Assurance,Operational,Hail,Closed,2006-03-13,,12075.22,8886.26,0.7359,,1.0,North America
CLM-410399,2006-01-16,Middle East & Africa,Energy,1673.98,1965.87,0.8515,Coastal Mutual,Weather,Cyber Breach,Open,,,1965.87,1673.98,0.8515,,1.0,Asia
CLM-400204,2006-01-18,Middle East & Africa,Property,6781.45,18546.52,0.3656,Zenith Cover,Weather,Windstorm,Closed,2006-02-06,,18546.52,6781.45,0.3656,,1.0,Asia
CLM-402348,2006-01-19,Nordics,Engineering,15435.52,35769.5,0.4315,Acentria Group,Credit,Collision,Reopened,2006-02-06,,35769.5,15435.52,0.4315,,1.0,Europe
CLM-400716,2006-01-19,Nordics,Property,2528.15,5301.37,0.4769,Andes Mutual (S. America),Credit,Hail,Closed,2006-02-17,,5301.37,2528.15,0.4769,,1.0,Europe
CLM-402235,2006-01-20,Kenya,Engineering,9330.76,13749.35,0.6786,Nile Star Assurance (Africa),Credit,Fire,Closed,2006-02-06,,13749.35,9330.76,0.6786,,1.0,Africa
CLM-407004,2006-01-21,Kenya,Motor,104506.21,178970.96,0.5839,Baobab Insurance,Cyber,Earthquake,Closed,2006-03-15,,178970.96,104506.21,0.5839,,1.0,Africa
CLM-406490,2006-01-21,Middle East & Africa,Agriculture,40010.99,94887.97,0.4217,Nile Star Assurance (Africa),Credit,Drought,Closed,2006-03-16,,94887.97,40010.99,0.4217,,1.0,Asia
CLM-402716,2006-01-22,Kenya,Credit & Surety,3806.68,5950.73,0.6397,Meridian Insurance (N. America),Credit,Collision,Open,,,5950.73,3806.68,0.6397,,1.0,Africa
CLM-401528,2006-01-22,Kenya,Engineering,28700.01,33469.59,0.8575,Pinnacle Assurance,Credit,Machinery Breakdown,Closed,2006-03-13,,33469.59,28700.01,0.8575,,1.0,Africa
CLM-406663,2006-01-22,Latin America,Engineering,11355.16,21812.6,0.5206,AgriProtect,Weather,Flood,Closed,2006-03-05,,21812.6,11355.16,0.5206,,1.0,South America
CLM-409888,2006-01-23,Kenya,Energy,46766.66,65130.44,0.718,Metro Insurers,Credit,Hail,Closed,2006-03-22,,65130.44,46766.66,0.718,,1.0,Africa
CLM-400378,2006-01-24,Latin America,Liability,15055.44,25517.32,0.59,Metro Insurers,Political,Fire,Reopened,2006-03-29,,25517.32,15055.44,0.59,,1.0,South America
CLM-408568,2006-01-24,Europe,Life,8339.53,9386.7,0.8884,Orient Shield Insurance (Asia),Market,Windstorm,Closed,2006-03-12,,9386.7,8339.53,0.8884,,1.0,Europe
CLM-406739,2006-01-24,Latin America,Life,112806.37,149658.88,0.7538,Nile Star Assurance (Africa),Nat Cat,Earthquake,Closed,2006-02-06,,149658.88,112806.37,0.7538,,1.0,South America
CLM-412382,2006-01-25,Latin America,Marine,5908.67,6658.96,0.8873,Andes Mutual (S. America),Operational,Flood,Closed,2006-07-12,,6658.96,5908.67,0.8873,,1.0,South America
CLM-408119,2006-01-25,Nordics,Life,12693.88,14411.46,0.8808,Andes Mutual (S. America),Weather,Windstorm,Open,,,14411.46,12693.88,0.8808,,1.0,Europe
CLM-409645,2006-01-26,Nordics,Marine,2991.71,4168.24,0.7177,Horizon Underwriters,Political,Machinery Breakdown,Closed,2006-07-05,,4168.24,2991.71,0.7177,,1.0,Europe
CLM-407908,2006-01-28,Africa,Cyber,20791.82,48757.34,0.4264,Metro Insurers,Political,Drought,Closed,2006-03-21,,48757.34,20791.82,0.4264,,1.0,Africa
CLM-406778,2006-01-28,Australia & Pacific,Marine,9677.88,12611.22,0.7674,AgriProtect,Cyber,Liability Claim,Open,,,12611.22,9677.88,0.7674,,1.0,Oceania
CLM-400930,2006-01-28,Africa,Agriculture,37840.39,56945.19,0.6645,Pinnacle Assurance,Operational,Theft,Closed,2006-03-11,,56945.19,37840.39,0.6645,,1.0,Africa
CLM-412833,2006-01-28,Australia & Pacific,Agriculture,48597.1,123427.35,0.3937,Nile Star Assurance (Africa),Cyber,Theft,Closed,2006-04-04,,123427.35,48597.1,0.3937,,1.0,Oceania
CLM-408834,2006-01-28,Asia Pacific,Engineering,3875.3,4590.02,0.8443,Zenith Cover,Market,Theft,Closed,2006-04-20,,4590.02,3875.3,0.8443,,1.0,Asia
CLM-407626,2006-01-29,Australia & Pacific,Agriculture,11825.01,20995.38,0.5632,Coastal Mutual,Political,Theft,Closed,2006-03-13,,20995.38,11825.01,0.5632,,1.0,Oceania
CLM-407503,2006-01-29,Kenya,Marine,47090.9,107886.45,0.4365,AgriProtect,Political,Earthquake,Closed,2006-06-29,,107886.45,47090.9,0.4365,,1.0,Africa
CLM-402242,2006-01-29,Middle East & Africa,Marine,60798.49,159476.55,0.3812,Meridian Insurance (N. America),Nat Cat,Drought,Closed,2006-07-12,,159476.55,60798.49,0.3812,,1.0,Asia
CLM-411787,2006-01-29,Nordics,Agriculture,22359.07,46007.02,0.486,Horizon Underwriters,Cyber,Fire,Closed,2006-07-31,,46007.02,22359.07,0.486,,1.0,Europe
CLM-408618,2006-01-30,Europe,Life,5584.04,11645.41,0.4795,Baobab Insurance,Weather,Liability Claim,Closed,2006-04-04,,11645.41,5584.04,0.4795,,1.0,Europe
CLM-409801,2006-01-30,Caribbean,Aviation,9402.5,11913.56,0.7892,Orient Shield Insurance (Asia),Weather,Marine Peril,Closed,2006-04-05,,11913.56,9402.5,0.7892,,1.0,North America
CLM-400125,2006-01-30,Nordics,Health,63943.87,104621.99,0.6112,Zenith Cover,Nat Cat,Drought,Reopened,2006-07-20,,104621.99,63943.87,0.6112,,1.0,Europe
CLM-406510,2006-02-01,Latin America,Motor,203245.16,414577.07,0.4902,Pacifica Cover (Oceania),Cyber,Hail,Closed,2006-03-14,,414577.07,203245.16,0.4902,,1.0,South America
CLM-412072,2006-02-01,Europe,Liability,32850.97,54727.43,0.6003,Metro Insurers,Credit,Flood,Closed,2006-10-10,,54727.43,32850.97,0.6003,,1.0,Europe
CLM-408456,2006-02-02,Latin America,Motor,15936.98,21098.3,0.7554,Metro Insurers,Political,Theft,Closed,2006-03-02,,21098.3,15936.98,0.7554,,1.0,South America
CLM-401603,2006-02-02,Kenya,Agriculture,2571.08,3932.98,0.6537,Pinnacle Assurance,Weather,Windstorm,Closed,2006-03-24,,3932.98,2571.08,0.6537,,1.0,Africa
CLM-405764,2006-02-03,Asia Pacific,Marine,8350.0,23726.34,0.3519,Orient Shield Insurance (Asia),Market,Marine Peril,Closed,2006-07-15,,23726.34,8350.0,0.3519,,1.0,Asia
CLM-411571,2006-02-03,Asia Pacific,Agriculture,2314.21,2466.56,0.9382,Baobab Insurance,Market,Drought,Reopened,2006-02-08,,2466.56,2314.21,0.9382,,1.0,Asia
CLM-400898,2006-02-04,Kenya,Engineering,21804.32,50645.52,0.4305,Orient Shield Insurance (Asia),Weather,Liability Claim,Closed,2006-04-15,,50645.52,21804.32,0.4305,,1.0,Africa
CLM-412449,2006-02-05,Caribbean,Engineering,2209.19,3080.02,0.7173,AgriProtect,Credit,Marine Peril,Reopened,2006-05-31,,3080.02,2209.19,0.7173,,1.0,North America
CLM-410934,2006-02-05,Asia Pacific,Motor,45407.14,68707.37,0.6609,Metro Insurers,Operational,Windstorm,Closed,2006-04-05,,68707.37,45407.14,0.6609,,1.0,Asia
CLM-402082,2006-02-06,Asia Pacific,Motor,6045.62,8506.7,0.7107,Meridian Insurance (N. America),Political,Flood,Closed,2006-03-29,,8506.7,6045.62,0.7107,,1.0,Asia
CLM-403729,2006-02-06,Middle East & Africa,Cyber,2293.57,4317.18,0.5313,Acentria Group,Credit,Earthquake,Reopened,2006-03-06,,4317.18,2293.57,0.5313,,1.0,Asia
CLM-405285,2006-02-06,Kenya,Health,12673.85,14807.0,0.8559,Andes Mutual (S. America),Weather,Flood,Closed,2006-03-15,,14807.0,12673.85,0.8559,,1.0,Africa
CLM-406023,2006-02-06,North America,Property,8489.0,12532.41,0.6774,Nile Star Assurance (Africa),Cyber,Earthquake,Closed,2006-03-05,,12532.41,8489.0,0.6774,,1.0,North America
CLM-410497,2006-02-06,Asia Pacific,Marine,38043.34,77520.54,0.4908,Meridian Insurance (N. America),Political,Earthquake,Open,,,77520.54,38043.34,0.4908,,1.0,Asia
CLM-408774,2006-02-07,Africa,Credit & Surety,9298.81,15459.81,0.6015,AgriProtect,Credit,Hail,Closed,2006-12-04,,15459.81,9298.81,0.6015,,1.0,Africa
CLM-406477,2006-02-07,Latin America,Cyber,1671.48,1767.33,0.9458,Coastal Mutual,Cyber,Machinery Breakdown,Closed,2006-03-25,,1767.33,1671.48,0.9458,,1.0,South America
CLM-408679,2006-02-07,Latin America,Engineering,18449.96,44749.21,0.4123,Acentria Group,Nat Cat,Windstorm,Closed,2006-03-26,,44749.21,18449.96,0.4123,,1.0,South America
CLM-405918,2006-02-08,Latin America,Marine,60751.44,75078.27,0.8092,Baobab Insurance,Nat Cat,Hail,Closed,2006-04-23,,75078.27,60751.44,0.8092,,1.0,South America
CLM-402505,2006-02-10,Kenya,Cyber,3115.98,3864.28,0.8064,Coastal Mutual,Credit,Marine Peril,Closed,2006-02-26,,3864.28,3115.98,0.8064,,1.0,Africa
CLM-402045,2006-02-10,Australia & Pacific,Cyber,6481.8,11086.38,0.5847,AgriProtect,Nat Cat,Earthquake,Closed,2006-03-13,,11086.38,6481.8,0.5847,,1.0,Oceania
CLM-404762,2006-02-11,Africa,Motor,29084.03,75327.18,0.3861,Atlas Underwriters (Europe),Operational,Cyber Breach,Closed,2006-03-24,,75327.18,29084.03,0.3861,,1.0,Africa
CLM-403086,2006-02-11,Africa,Marine,14456.13,15392.21,0.9392,Orient Shield Insurance (Asia),Credit,Marine Peril,Under Review,,,15392.21,14456.13,0.9392,,1.0,Africa
CLM-411904,2006-02-12,North America,Health,37218.55,47457.33,0.7843,Acentria Group,Operational,Collision,Closed,2006-06-03,,47457.33,37218.55,0.7843,,1.0,North America
CLM-409150,2006-02-12,Africa,Life,6820.27,9874.74,0.6907,AgriProtect,Nat Cat,Cyber Breach,Closed,2006-03-04,,9874.74,6820.27,0.6907,,1.0,Africa
CLM-408383,2006-02-12,Australia & Pacific,Liability,34422.09,40191.58,0.8565,Metro Insurers,Market,Cyber Breach,Reopened,2006-07-22,,40191.58,34422.09,0.8565,,1.0,Oceania
CLM-405390,2006-02-13,Africa,Motor,3924.03,5248.23,0.7477,Zenith Cover,Operational,Fire,Open,,,5248.23,3924.03,0.7477,,1.0,Africa
CLM-405047,2006-02-15,Europe,Property,56525.89,134226.97,0.4211,Pacifica Cover (Oceania),Political,Flood,Closed,2006-03-21,,134226.97,56525.89,0.4211,,1.0,Europe
CLM-410711,2006-02-17,Kenya,Health,8890.44,21188.87,0.4196,Horizon Underwriters,Nat Cat,Theft,Closed,2006-03-29,,21188.87,8890.44,0.4196,,1.0,Africa
CLM-400804,2006-02-17,Europe,Life,8238.08,10429.47,0.7899,Zenith Cover,Weather,Machinery Breakdown,Under Review,,,10429.47,8238.08,0.7899,,1.0,Europe
CLM-402662,2006-02-17,Kenya,Agriculture,54064.6,75812.41,0.7131,Baobab Insurance,Credit,Machinery Breakdown,Closed,2006-03-20,,75812.41,54064.6,0.7131,,1.0,Africa
CLM-403500,2006-02-18,Europe,Aviation,2535.81,5775.58,0.4391,Zenith Cover,Political,Theft,Closed,2007-09-04,,5775.58,2535.81,0.4391,,1.0,Europe
CLM-407794,2006-02-18,Middle East & Africa,Cyber,4458.75,7007.28,0.6363,Pacifica Cover (Oceania),Political,Hail,Closed,2006-03-19,,7007.28,4458.75,0.6363,,1.0,Asia
CLM-405023,2006-02-20,North America,Marine,84651.83,99786.61,0.8483,Pacifica Cover (Oceania),Cyber,Liability Claim,Closed,2006-08-31,,99786.61,84651.83,0.8483,,1.0,North America
CLM-400617,2006-02-20,Kenya,Engineering,11270.0,12719.99,0.886,Pinnacle Assurance,Cyber,Hail,Closed,2006-03-18,,12719.99,11270.0,0.886,,1.0,Africa
CLM-406043,2006-02-20,North America,Marine,9486.9,23303.18,0.4071,Andes Mutual (S. America),Political,Windstorm,Reopened,2006-09-26,,23303.18,9486.9,0.4071,,1.0,North America
CLM-411974,2006-02-21,Africa,Life,2331.58,2872.88,0.8116,Atlas Underwriters (Europe),Political,Fire,Closed,2006-04-04,,2872.88,2331.58,0.8116,,1.0,Africa
CLM-406135,2006-02-21,Nordics,Aviation,21355.04,26468.84,0.8068,Atlas Underwriters (Europe),Weather,Earthquake,Closed,2006-06-08,,26468.84,21355.04,0.8068,,1.0,Europe
CLM-404740,2006-02-21,Caribbean,Credit & Surety,2556.91,4718.92,0.5418,AgriProtect,Nat Cat,Hail,Closed,2006-07-30,,4718.92,2556.91,0.5418,,1.0,North America
CLM-401726,2006-02-22,Asia Pacific,Energy,8785.28,9980.09,0.8803,Pinnacle Assurance,Cyber,Windstorm,Closed,2006-04-08,,9980.09,8785.28,0.8803,,1.0,Asia
CLM-405855,2006-02-24,Africa,Cyber,1034.09,2030.24,0.5093,Pacifica Cover (Oceania),Nat Cat,Fire,Closed,2006-03-21,,2030.24,1034.09,0.5093,,1.0,Africa
CLM-405156,2006-02-25,Asia Pacific,Energy,42308.37,52011.13,0.8134,Horizon Underwriters,Nat Cat,Cyber Breach,Closed,2006-04-21,,52011.13,42308.37,0.8134,,1.0,Asia
CLM-402248,2006-02-26,North America,Property,2871.42,7272.49,0.3948,AgriProtect,Market,Liability Claim,Closed,2006-04-19,,7272.49,2871.42,0.3948,,1.0,North America
CLM-407856,2006-02-27,Asia Pacific,Life,17416.2,18686.4,0.932,Nile Star Assurance (Africa),Political,Cyber Breach,Closed,2006-04-12,,18686.4,17416.2,0.932,,1.0,Asia
CLM-410672,2006-02-28,Nordics,Energy,1856.14,4503.08,0.4122,Baobab Insurance,Political,Collision,Under Review,,,4503.08,1856.14,0.4122,,1.0,Europe
CLM-400984,2006-02-28,Latin America,Health,19787.93,28841.39,0.6861,Horizon Underwriters,Operational,Liability Claim,Reopened,2006-03-15,,28841.39,19787.93,0.6861,,1.0,South America
CLM-400795,2006-03-01,Australia & Pacific,Credit & Surety,4923.33,5870.71,0.8386,Metro Insurers,Market,Hail,Closed,2006-05-21,,5870.71,4923.33,0.8386,,1.0,Oceania
CLM-401124,2006-03-01,Kenya,Agriculture,9495.67,22768.16,0.4171,Coastal Mutual,Nat Cat,Machinery Breakdown,Closed,2006-04-12,,22768.16,9495.67,0.4171,,1.0,Africa
CLM-407773,2006-03-01,Europe,Credit & Surety,59377.52,72111.98,0.8234,Atlas Underwriters (Europe),Cyber,Theft,Closed,2006-04-27,,72111.98,59377.52,0.8234,,1.0,Europe
CLM-404101,2006-03-01,North America,Energy,130783.81,338975.94,0.3858,Nile Star Assurance (Africa),Weather,Machinery Breakdown,Closed,2006-06-25,,338975.94,130783.81,0.3858,,1.0,North America
CLM-402522,2006-03-02,Asia Pacific,Health,5679.92,9296.78,0.611,Acentria Group,Operational,Machinery Breakdown,Closed,2006-03-16,,9296.78,5679.92,0.611,,1.0,Asia
CLM-407176,2006-03-03,North America,Property,21861.27,36049.27,0.6064,Acentria Group,Market,Hail,Closed,2006-04-03,,36049.27,21861.27,0.6064,,1.0,North America
CLM-408704,2006-03-04,Africa,Life,8751.73,11414.48,0.7667,Atlas Underwriters (Europe),Nat Cat,Fire,Closed,2006-05-26,,11414.48,8751.73,0.7667,,1.0,Africa
CLM-408067,2006-03-04,Latin America,Motor,2382.15,4975.9,0.4787,Zenith Cover,Political,Marine Peril,Open,,,4975.9,2382.15,0.4787,,1.0,South America
CLM-410461,2006-03-05,Africa,Engineering,45280.19,50849.21,0.8905,AgriProtect,Cyber,Collision,Closed,2006-04-25,,50849.21,45280.19,0.8905,,1.0,Africa
CLM-412826,2006-03-06,Europe,Marine,3647.35,8268.91,0.4411,Orient Shield Insurance (Asia),Political,Liability Claim,Closed,2006-07-19,,8268.91,3647.35,0.4411,,1.0,Europe
CLM-404705,2006-03-07,Asia Pacific,Liability,18696.7,24604.75,0.7599,Metro Insurers,Political,Flood,Under Review,,,24604.75,18696.7,0.7599,,1.0,Asia
CLM-401494,2006-03-08,Kenya,Engineering,26702.34,70927.74,0.3765,Nile Star Assurance (Africa),Operational,Fire,Closed,2006-04-09,,70927.74,26702.34,0.3765,,1.0,Africa
CLM-407463,2006-03-08,Asia Pacific,Credit & Surety,68699.83,143287.5,0.4795,Coastal Mutual,Political,Machinery Breakdown,Closed,2006-06-21,,143287.5,68699.83,0.4795,,1.0,Asia
CLM-406284,2006-03-08,Asia Pacific,Liability,1459.19,2864.93,0.5093,Metro Insurers,Credit,Theft,Reopened,2006-05-03,,2864.93,1459.19,0.5093,,1.0,Asia
CLM-411724,2006-03-08,Caribbean,Life,5189.39,9975.77,0.5202,Horizon Underwriters,Credit,Fire,Under Review,,,9975.77,5189.39,0.5202,,1.0,North America
CLM-401581,2006-03-10,North America,Cyber,17865.05,30793.63,0.5802,Coastal Mutual,Credit,Collision,Under Review,,,30793.63,17865.05,0.5802,,1.0,North America
CLM-403495,2006-03-11,Kenya,Credit & Surety,9307.32,19261.2,0.4832,Horizon Underwriters,Cyber,Machinery Breakdown,Closed,2006-10-02,,19261.2,9307.32,0.4832,,1.0,Africa
CLM-405069,2006-03-11,North America,Credit & Surety,10503.05,17290.17,0.6075,Pacifica Cover (Oceania),Market,Hail,Closed,2006-06-05,,17290.17,10503.05,0.6075,,1.0,North America
CLM-400340,2006-03-12,Australia & Pacific,Energy,54757.65,72090.18,0.7596,Coastal Mutual,Political,Liability Claim,Closed,2006-05-20,,72090.18,54757.65,0.7596,,1.0,Oceania
CLM-412542,2006-03-12,Latin America,Liability,4254.94,8618.01,0.4937,Orient Shield Insurance (Asia),Credit,Flood,Closed,2007-04-09,,8618.01,4254.94,0.4937,,1.0,South America
CLM-401195,2006-03-13,Asia Pacific,Aviation,450.06,537.89,0.8367,Horizon Underwriters,Credit,Flood,Closed,2006-08-31,,537.89,450.06,0.8367,,1.0,Asia
CLM-401619,2006-03-13,Kenya,Life,16178.33,28676.41,0.5642,Coastal Mutual,Cyber,Cyber Breach,Reopened,2006-06-23,,28676.41,16178.33,0.5642,,1.0,Africa
CLM-402493,2006-03-15,Asia Pacific,Liability,21368.97,30916.86,0.6912,Pinnacle Assurance,Credit,Theft,Closed,2006-08-22,,30916.86,21368.97,0.6912,,1.0,Asia
CLM-405884,2006-03-16,North America,Engineering,6678.08,9078.96,0.7356,Acentria Group,Nat Cat,Collision,Closed,2006-04-22,,9078.96,6678.08,0.7356,,1.0,North America
CLM-406720,2006-03-16,Nordics,Credit & Surety,21478.42,51915.27,0.4137,Horizon Underwriters,Cyber,Hail,Closed,2006-06-04,,51915.27,21478.42,0.4137,,1.0,Europe
CLM-407795,2006-03-16,Caribbean,Agriculture,7720.75,8950.88,0.8626,Orient Shield Insurance (Asia),Nat Cat,Cyber Breach,Reopened,2006-10-21,,8950.88,7720.75,0.8626,,1.0,North America
CLM-401607,2006-03-16,North America,Property,1903.02,2172.91,0.8758,Acentria Group,Political,Machinery Breakdown,Closed,2006-03-20,,2172.91,1903.02,0.8758,,1.0,North America
CLM-410177,2006-03-17,Middle East & Africa,Marine,3792.12,9118.92,0.4159,AgriProtect,Weather,Marine Peril,Closed,2006-09-01,,9118.92,3792.12,0.4159,,1.0,Asia
CLM-407701,2006-03-17,Kenya,Cyber,15310.7,42784.85,0.3579,Baobab Insurance,Credit,Hail,Under Review,,,42784.85,15310.7,0.3579,,1.0,Africa
CLM-404114,2006-03-17,Kenya,Health,12191.92,15909.44,0.7663,Orient Shield Insurance (Asia),Nat Cat,Drought,Closed,2006-04-22,,15909.44,12191.92,0.7663,,1.0,Africa
CLM-407132,2006-03-17,Caribbean,Health,13076.33,14802.6,0.8834,AgriProtect,Operational,Drought,Closed,2006-05-16,,14802.6,13076.33,0.8834,,1.0,North America
CLM-411845,2006-03-18,Nordics,Liability,37938.39,66729.33,0.5685,Orient Shield Insurance (Asia),Weather,Windstorm,Closed,2006-08-19,,66729.33,37938.39,0.5685,,1.0,Europe
CLM-412212,2006-03-18,Nordics,Marine,2258.81,3822.34,0.5909,Pacifica Cover (Oceania),Weather,Marine Peril,Closed,2006-06-14,,3822.34,2258.81,0.5909,,1.0,Europe
CLM-401438,2006-03-19,Australia & Pacific,Health,155107.82,204765.63,0.7575,Horizon Underwriters,Credit,Windstorm,Closed,2006-07-13,,204765.63,155107.82,0.7575,,1.0,Oceania
CLM-407725,2006-03-19,North America,Aviation,12470.43,28571.65,0.4365,Andes Mutual (S. America),Credit,Flood,Closed,2007-02-07,,28571.65,12470.43,0.4365,,1.0,North America
CLM-410112,2006-03-19,Kenya,Engineering,69592.8,98936.27,0.7034,Pacifica Cover (Oceania),Operational,Earthquake,Closed,2006-04-02,,98936.27,69592.8,0.7034,,1.0,Africa
CLM-404943,2006-03-20,Africa,Aviation,10222.62,11357.68,0.9001,Nile Star Assurance (Africa),Nat Cat,Liability Claim,Closed,2006-07-20,,11357.68,10222.62,0.9001,,1.0,Africa
CLM-405840,2006-03-20,Asia Pacific,Liability,21977.51,52232.83,0.4208,Acentria Group,Market,Theft,Closed,2006-05-07,,52232.83,21977.51,0.4208,,1.0,Asia
CLM-403272,2006-03-20,North America,Life,3472.2,4116.76,0.8434,Pinnacle Assurance,Market,Cyber Breach,Closed,2006-04-21,,4116.76,3472.2,0.8434,,1.0,North America
CLM-412346,2006-03-20,Africa,Agriculture,3990.12,4646.95,0.8587,Pinnacle Assurance,Political,Cyber Breach,Under Review,,,4646.95,3990.12,0.8587,,1.0,Africa
CLM-411175,2006-03-20,North America,Aviation,25355.81,50941.04,0.4977,Andes Mutual (S. America),Operational,Fire,Closed,2006-11-29,,50941.04,25355.81,0.4977,,1.0,North America
CLM-401016,2006-03-21,Caribbean,Agriculture,9941.78,10617.68,0.9363,Baobab Insurance,Credit,Fire,Closed,2006-04-27,,10617.68,9941.78,0.9363,,1.0,North America
CLM-400381,2006-03-21,Middle East & Africa,Life,3177.87,6160.85,0.5158,Orient Shield Insurance (Asia),Political,Earthquake,Closed,2006-06-20,,6160.85,3177.87,0.5158,,1.0,Asia
CLM-402619,2006-03-22,Europe,Property,16925.98,26791.22,0.6318,Nile Star Assurance (Africa),Operational,Hail,Closed,2006-07-31,,26791.22,16925.98,0.6318,,1.0,Europe
