policy_id,period,region,country,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,ceded_premium,commission,retention,treaty_type,currency,underwriter,claim_status,cause_of_loss,settlement_date,reserve,broker,gwp_usd,nep_usd,claims_paid_usd,continent
POL-2006-000010-47E7,2006-08-03,Europe,Portugal,Marine,177942.24,89003.66,75902.32,0.8528,1.1981,National Insurance  Portugal,Specialty,15692407.58,0.011339,51571.56,12160.76,73092.04,Quota Share,EUR,Jessica Callahan,Settled,Political Violence,2006-11-11,0.0,Howden,177942.24,89003.66,75902.32,Europe
POL-2012-000011-3D26,2012-03-21,Africa & Middle East,Kenya,Life,46618.26,33278.41,0.0,,,Continental Re of Kenya,Medium,1040270.82,0.044814,13123.52,2961.0,1902.33,Surplus,CNY,Megan Young,,,,0.0,Gallagher,46618.26,33278.41,0.0,Other
POL-2011-000012-7A8D,2011-09-16,Latin America,Colombia,Health,116959.76,29226.78,0.0,,,"Moran, Allen and Foster",Medium,1888933.25,0.061918,71072.03,14089.76,5847.46,Stop Loss,USD,Shane Henderson,,,,0.0,Amwins,116959.76,29226.78,0.0,South America
POL-2018-000013-832E,2018-06-07,North America,Canada,Casualty,23965.39,4674.76,0.0,,,Pacific Underwriters of Canada,Medium,828088.57,0.028941,16375.98,4008.31,6622.81,Facultative,USD,Ethan Adams,,,,0.0,Independent Agents,23965.39,4674.76,0.0,North America
POL-2018-000014-C22E,2018-05-17,Africa & Middle East,Israel,Motor,6117.22,2524.39,0.0,,,"Brewer, Bryant and Hickman",Low,213716.82,0.028623,2015.78,190.66,1703.45,Surplus,AUD,Amber Kidd,,,,0.0,Brown & Brown,6117.22,2524.39,0.0,Other
POL-2022-000015-647B,2022-03-01,Africa & Middle East,United Arab Emirates,Property,67993.67,59702.95,0.0,,,Smith PLC,Catastrophic,1077079.23,0.063128,7895.29,577.38,9557.88,Quota Share,INR,James Brown,,,,0.0,Local Broker Partners,67993.67,59702.95,0.0,Other
POL-2011-000016-1157,2011-02-05,Africa & Middle East,Kenya,Surety,42121.24,19176.5,6945.73,0.3622,0.7063,Atlantic Holdings  Kenya,Medium,784606.53,0.053685,19960.97,3211.37,3489069.99,Stop Loss,BRL,Elizabeth Fowler,Open,Theft,,4475.11,Brown & Brown,42121.24,19176.5,6945.73,Other
POL-2018-000017-0432,2018-12-02,Asia Pacific,New Zealand,Catastrophe,590957.68,321685.0,0.0,,,Atlantic Mutual of New Zealand,Medium,25233976.71,0.023419,240345.09,16506.29,150245.28,Quota Share,USD,James Ferrell,,,,0.0,Hub International,590957.68,321685.0,0.0,Asia
POL-2007-000018-1F07,2007-11-19,Europe,Belgium,Surety,97587.12,49653.58,0.0,,,Summit Corp of Belgium,Low,1414822.71,0.068975,32241.52,3023.23,10225.44,Facultative,USD,Carol Tucker,,,,0.0,CRC Group,97587.12,49653.58,0.0,Europe
POL-2019-000019-0274,2019-08-07,Europe,Portugal,Directors & Officers,64834.86,21044.73,14251.49,0.6772,0.9224,Continental Corp of Portugal,Medium,1261986.18,0.051375,41385.7,7256.97,6524.97,Surplus,USD,William Baker,Closed,Liability Claim,2021-08-16,0.0,Aon,64834.86,21044.73,14251.49,Europe
POL-2009-000020-D291,2009-02-02,Asia Pacific,Hong Kong,Liability,862641.45,334463.55,0.0,,,"Ferrell, Jones and Lewis",Catastrophic,11389674.82,0.075739,327419.51,54069.43,4404476.8,Facultative,INR,William Baker,,,,0.0,Amwins,862641.45,334463.55,0.0,Asia
POL-2020-000021-2C71,2020-08-11,Europe,Italy,Health,204337.98,93670.82,84472.35,0.9018,1.244,Anderson-Bailey,Catastrophic,2603793.29,0.078477,102439.57,17248.63,21495.44,Excess of Loss,USD,Joshua Blair,Settled,Accident,2022-10-29,0.0,Lockton,204337.98,93670.82,84472.35,Europe
POL-2017-000022-C2F9,2017-05-10,North America,Mexico,Surety,384011.33,107422.9,118884.92,1.1067,1.3107,Suarez LLC,Catastrophic,5011530.32,0.076626,210981.41,20983.51,164839.69,Aggregate XL,EUR,Brittney Phillips,Settled,Mortality,2018-06-21,0.0,Gallagher,384011.33,107422.9,118884.92,North America
POL-2010-000023-AD0B,2010-02-28,Europe,Ireland,Catastrophe,127536.63,68495.46,52618.21,0.7682,1.0638,Atlantic Re  Ireland,Specialty,1692001.83,0.075376,57035.76,12326.24,2964568.33,Quota Share,EUR,Angelica Tucker,Settled,Flood,2011-08-30,0.0,CRC Group,127536.63,68495.46,52618.21,Europe
POL-2025-000024-31DE,2025-08-04,Africa & Middle East,United Arab Emirates,Property,66098.21,45613.48,45421.9,0.9958,1.2084,Summit Corp  United Arab Emirates,Specialty,1120881.83,0.05897,12701.27,2688.09,3542.73,Surplus,AUD,James Ferrell,Pending,Storm,,54532.24,Aon,66098.21,45613.48,45421.9,Other
POL-2023-000025-9012,2023-06-22,Europe,Portugal,Credit,177246.51,96004.43,92932.29,0.968,1.1899,National Underwriters  Portugal,Medium,3143029.94,0.056394,37062.94,8880.74,60654.06,Aggregate XL,USD,Richard Aguirre,Closed,Liability Claim,2025-06-29,0.0,Marsh,177246.51,96004.43,92932.29,Europe
POL-2012-000026-41D3,2012-07-07,Africa & Middle East,Turkey,Terrorism,21528.73,12469.0,0.0,,,Moore-Bass,Catastrophic,1032013.95,0.020861,7649.21,565.36,970995.62,Surplus,SGD,Sarah Moore,,,,0.0,CRC Group,21528.73,12469.0,0.0,Other
POL-2008-000027-C4E8,2008-04-26,Asia Pacific,Singapore,Life,219017.08,67714.32,0.0,,,Global PLC  Singapore,Catastrophic,2897699.87,0.075583,114942.59,8105.47,20348.63,Surplus,GBP,Abigail Shaffer,,,,0.0,Howden,219017.08,67714.32,0.0,Asia
POL-2020-000028-F07B,2020-07-24,Asia Pacific,Australia,Marine,78548.3,25332.03,0.0,,,Apex Underwriters  Australia,Catastrophic,3811713.22,0.020607,40206.57,6803.97,16502.4,Surplus,BRL,Shannon Jones,,,,0.0,Howden,78548.3,25332.03,0.0,Asia
POL-2006-000029-2FDD,2006-04-17,Europe,Portugal,Aviation,517089.36,404064.37,157948.76,0.3909,0.7034,Premier Re of Portugal,Specialty,13563680.6,0.038123,24806.35,2642.96,1447643.4,Aggregate XL,USD,Dylan Miller,Closed,Political Violence,2007-02-13,0.0,CRC Group,517089.36,404064.37,157948.76,Europe
POL-2009-000030-95F5,2009-03-26,Asia Pacific,Japan,Casualty,102975.03,40435.69,0.0,,,Apex Insurance  Japan,Specialty,3139657.5,0.032798,61223.2,8421.36,2704508.0,Surplus,JPY,Anthony Rodriguez,,,,0.0,Local Broker Partners,102975.03,40435.69,0.0,Asia
POL-2023-000031-CAE5,2023-12-11,Asia Pacific,New Zealand,Property,2001806.97,593063.16,425285.59,0.7171,0.9613,Premier Group  New Zealand,Low,25098292.2,0.079759,1116738.85,272273.27,188587.55,Excess of Loss,AUD,Crystal Robinson,In Litigation,Liability Claim,,542783.17,Independent Agents,2001806.97,593063.16,425285.59,Asia
POL-2022-000032-053A,2022-02-15,Europe,Germany,Workers Compensation,222067.13,53768.37,38342.22,0.7131,0.8943,"Turner, Riggs and Roman",Specialty,5062525.18,0.043865,151474.4,18533.78,12659.66,Excess of Loss,USD,Connor West,In Litigation,Business Interruption,,48279.62,Aon,222067.13,53768.37,38342.22,Europe
POL-2010-000033-B84D,2010-01-08,Africa & Middle East,Turkey,Political Risk,26708.45,20662.52,0.0,,,Premier Corp of Turkey,Medium,661564.25,0.040372,5300.33,554.86,3354.78,Facultative,JPY,Angela Lopez,,,,0.0,CRC Group,26708.45,20662.52,0.0,Other
POL-2009-000034-0622,2009-08-01,Asia Pacific,Japan,Health,364956.39,162251.16,146577.7,0.9034,1.1538,United Ltd  Japan,High,6868433.15,0.053135,94999.46,13952.41,31405.08,Excess of Loss,JPY,Lauren Daniels,Pending,Fire,,99938.38,Brown & Brown,364956.39,162251.16,146577.7,Asia
POL-2020-000035-571B,2020-07-16,Asia Pacific,Hong Kong,Credit,56577.61,19023.03,0.0,,,Premier Insurance of Hong Kong,Medium,2077952.09,0.027228,27791.57,1943.81,4226746.72,Quota Share,CHF,Nathan Maldonado,,,,0.0,Lockton,56577.61,19023.03,0.0,Asia
POL-2017-000036-B56F,2017-06-18,Africa & Middle East,Egypt,Marine,167777.55,81928.2,73473.21,0.8968,1.1156,Atlantic Re  Egypt,Low,43737300.98,0.003836,55031.98,12887.71,3159493.47,Facultative,GBP,Elizabeth Fowler,Open,Theft,,53646.91,Marsh,167777.55,81928.2,73473.21,Other
POL-2018-000037-C221,2018-09-29,Latin America,Brazil,Motor,7467.43,3962.51,3164.06,0.7985,1.0947,Premier Mutual of Brazil,Catastrophic,185223.81,0.040316,1553.48,275.87,529.28,Surplus,ZAR,William Baker,Settled,Business Interruption,2019-08-31,0.0,Willis Towers Watson,7467.43,3962.51,3164.06,South America
POL-2025-000038-F23E,2025-08-22,Europe,Norway,Health,72459.79,53058.61,24592.67,0.4635,0.6766,Continental Insurance of Norway,Catastrophic,912331.31,0.079423,5574.96,1012.67,4889942.98,Surplus,JPY,Megan Young,Closed,Business Interruption,2026-06-04,0.0,Lockton,72459.79,53058.61,24592.67,Europe
POL-2009-000039-BB64,2009-11-18,Europe,Greece,Aviation,1005520.21,495855.57,0.0,,,Summit Ltd  Greece,High,67595427.25,0.014876,450215.93,109986.81,2701644.72,Facultative,USD,Dylan Miller,,,,0.0,Hub International,1005520.21,495855.57,0.0,Europe
POL-2009-000040-78E1,2009-10-13,Europe,Italy,Credit,578171.77,419962.53,0.0,,,Atlantic Corp of Italy,Specialty,12254530.31,0.04718,62645.6,4489.76,104437.21,Surplus,EUR,Gabrielle Davis,,,,0.0,Local Broker Partners,578171.77,419962.53,0.0,Europe
POL-2014-000041-5016,2014-03-01,Africa & Middle East,Egypt,Surety,56714.38,32428.63,10944.66,0.3375,0.6607,Royal PLC of Egypt,Low,1539567.85,0.036838,16028.55,3833.95,10692.48,Facultative,BRL,Crystal Robinson,Settled,Storm,2015-06-28,0.0,Howden,56714.38,32428.63,10944.66,Other
POL-2019-000042-B6FA,2019-02-20,Europe,Spain,Engineering,339600.3,104590.75,31847.88,0.3045,0.5299,Apex Insurance of Spain,Medium,4470080.56,0.075972,217689.81,20119.15,7748.38,Excess of Loss,EUR,Gabrielle Davis,Closed,Crop Failure,2019-11-15,0.0,CRC Group,339600.3,104590.75,31847.88,Europe
POL-2015-000043-89F9,2015-01-02,Latin America,Brazil,Catastrophe,215164.56,113920.75,39746.95,0.3489,0.5957,Continental Insurance of Brazil,Specialty,7343214.62,0.029301,91257.59,4850.91,41935.8,Quota Share,SGD,Gabrielle Davis,Settled,Machinery Breakdown,2016-09-30,0.0,Hub International,215164.56,113920.75,39746.95,South America
POL-2008-000044-2FAA,2008-04-23,Europe,Denmark,Directors & Officers,64689.7,51653.55,37154.4,0.7193,0.95,Premier Corp of Denmark,High,11143392.11,0.005805,10133.34,1897.16,46946.42,Stop Loss,GBP,Gabrielle Davis,In Litigation,Business Interruption,,35594.95,Willis Towers Watson,64689.7,51653.55,37154.4,Europe
POL-2015-000045-D740,2015-09-29,Latin America,Argentina,Catastrophe,88962.18,24366.44,0.0,,,Premier Holdings  Argentina,High,1282358.19,0.069374,51229.55,6801.37,10393.16,Facultative,AUD,Tricia Valencia,,,,0.0,Lockton,88962.18,24366.44,0.0,South America
POL-2020-000046-34EA,2020-02-13,Asia Pacific,Japan,Marine,54439.13,42902.05,32206.57,0.7507,1.0402,Royal Insurance  Japan,High,2013130.11,0.027042,8043.88,1472.58,1774454.42,Quota Share,JPY,Carla Gray,Open,Accident,,42333.86,Local Broker Partners,54439.13,42902.05,32206.57,Asia
POL-2016-000047-876B,2016-10-20,Asia Pacific,Australia,Health,415751.28,212451.93,172001.08,0.8096,1.0068,Continental Mutual  Australia,Medium,8465612.19,0.049111,181508.45,10126.47,55430.88,Excess of Loss,BRL,Danny Morgan,In Litigation,Fire,,70539.23,Aon,415751.28,212451.93,172001.08,Asia
POL-2021-000048-2140,2021-08-03,Europe,Netherlands,Credit,392734.47,268736.21,294884.24,1.0973,1.3586,Premier Holdings  Netherlands,Catastrophic,29549320.17,0.013291,24478.15,1623.3,41312.9,Surplus,EUR,Angelica Tucker,In Litigation,Natural Catastrophe,,298352.4,Brown & Brown,392734.47,268736.21,294884.24,Europe
POL-2021-000049-4603,2021-01-24,Africa & Middle East,Israel,Life,6719.39,3972.39,4372.81,1.1008,1.3377,Pacific Holdings of Israel,High,281542.74,0.023866,892.8,121.54,2491952.79,Quota Share,CAD,Connie Lawrence,Open,Crop Failure,,2954.59,Brown & Brown,6719.39,3972.39,4372.81,Other
POL-2018-000050-B95D,2018-12-30,Asia Pacific,Vietnam,Credit,275005.5,249311.36,100896.31,0.4047,0.735,Royal PLC  Vietnam,Catastrophic,4956912.38,0.055479,22277.22,1585.53,2189191.78,Surplus,SGD,Anthony Humphrey,Closed,Flood,2020-07-04,0.0,Gallagher,275005.5,249311.36,100896.31,Asia
POL-2025-000051-E9F2,2025-09-19,Asia Pacific,Australia,Directors & Officers,70248.69,47616.02,0.0,,,National Assurance  Australia,Specialty,3310261.98,0.021221,21823.45,4404.64,772820.25,Stop Loss,CHF,Brittney Phillips,,,,0.0,Local Broker Partners,70248.69,47616.02,0.0,Asia
POL-2024-000052-4E55,2024-03-18,Africa & Middle East,Saudi Arabia,Agriculture,36264.97,17360.42,0.0,,,National PLC  Saudi Arabia,Specialty,967642.42,0.037478,17364.79,1865.25,1850000.62,Aggregate XL,USD,Richard Aguirre,,,,0.0,Amwins,36264.97,17360.42,0.0,Other
POL-2015-000053-E2CC,2015-09-14,Europe,Ireland,Professional Indemnity,386067.56,362820.74,0.0,,,Summit PLC of Ireland,High,26384875.39,0.014632,7991.74,1101.94,2194413.79,Facultative,USD,Angela Lopez,,,,0.0,Marsh,386067.56,362820.74,0.0,Europe
POL-2025-000054-C1C0,2025-06-18,Africa & Middle East,United Arab Emirates,Marine,140628.52,91253.29,0.0,,,Royal Assurance of United Arab Emirates,Catastrophic,5144519.08,0.027336,38038.35,4563.24,10965.17,Aggregate XL,AUD,Holly Wood,,,,0.0,Local Broker Partners,140628.52,91253.29,0.0,Other
POL-2021-000055-68C9,2021-09-18,Asia Pacific,China,Surety,427086.49,231885.79,255746.84,1.1029,1.2954,Summit Ltd of China,Specialty,35987413.32,0.011868,88901.36,6243.38,4223697.66,Excess of Loss,BRL,Joshua Blair,In Litigation,Mortality,,268454.54,Willis Towers Watson,427086.49,231885.79,255746.84,Asia
POL-2010-000056-856C,2010-07-30,Europe,Denmark,Casualty,86931.55,23356.43,0.0,,,Atlantic Group  Denmark,High,4369668.73,0.019894,59265.86,13678.26,31789.17,Facultative,INR,Carol Tucker,,,,0.0,Brown & Brown,86931.55,23356.43,0.0,Europe
POL-2011-000057-FCE0,2011-05-09,Europe,Ireland,Energy,353391.57,106102.6,75789.09,0.7143,1.0353,National Underwriters  Ireland,Low,25861689.75,0.013665,233442.04,50472.35,132071.04,Facultative,USD,Jessica Callahan,Open,Accident,,43157.83,Lockton,353391.57,106102.6,75789.09,Europe
POL-2015-000058-377B,2015-03-16,Asia Pacific,India,Agriculture,151884.07,111278.09,41718.16,0.3749,0.5834,"Smith, Montoya and Evans",High,107350349.92,0.001415,25205.51,5469.41,1287060.4,Excess of Loss,CNY,Brian Ramirez,In Litigation,Mortality,,43694.46,Marsh,151884.07,111278.09,41718.16,Asia
POL-2007-000059-A24E,2007-11-02,Asia Pacific,Australia,Professional Indemnity,544652.07,268236.55,444923.97,1.6587,1.8538,Summit Ltd of Australia,Catastrophic,34476452.63,0.015798,242385.68,29600.32,178859.58,Quota Share,ZAR,Eric Carney,Open,Accident,,554474.94,Lockton,544652.07,268236.55,444923.97,Asia
POL-2016-000060-945D,2016-10-24,Europe,Spain,Aviation,493911.85,407154.72,0.0,,,"Garcia, Humphrey and Baker",Medium,8829985.15,0.055936,53936.53,3377.51,66154.08,Quota Share,USD,Amber Kidd,,,,0.0,Brown & Brown,493911.85,407154.72,0.0,Europe
POL-2022-000061-7B70,2022-01-19,Europe,Austria,Health,267276.59,226436.86,233048.82,1.0292,1.2436,Royal Group of Austria,Catastrophic,8887441.06,0.030074,19082.17,4368.43,61736.27,Surplus,USD,Monica Herrera,Pending,Business Interruption,,348202.39,Independent Agents,267276.59,226436.86,233048.82,Europe
POL-2010-000062-AD7E,2010-06-14,Asia Pacific,Malaysia,Life,25501.22,14343.42,12850.27,0.8959,1.0934,Newton and Sons,Catastrophic,702063.41,0.036323,7073.63,1223.53,5822.11,Surplus,INR,Margaret Hawkins DDS,Denied,Natural Catastrophe,,0.0,Marsh,25501.22,14343.42,12850.27,Asia
POL-2019-000063-9ADF,2019-02-04,Europe,Germany,Energy,184539.01,37363.77,0.0,,,United Mutual of Germany,Low,5115964.82,0.036071,123582.13,15248.8,697098.59,Aggregate XL,USD,Tracy House,,,,0.0,Brown & Brown,184539.01,37363.77,0.0,Europe
POL-2008-000064-72F9,2008-12-26,Asia Pacific,South Korea,Health,407933.81,287312.14,198848.73,0.6921,0.9607,United Group of South Korea,High,11111919.45,0.036711,110691.26,7478.1,50680.24,Surplus,GBP,Ethan Adams,Open,Storm,,248656.12,Lockton,407933.81,287312.14,198848.73,Asia
POL-2012-000065-EC0B,2012-07-03,Europe,Poland,Property,1449938.23,497145.64,398114.23,0.8008,1.1488,Apex Re of Poland,Low,18131478.55,0.079968,844149.74,172065.5,94384.59,Facultative,CHF,Tracy House,Denied,Natural Catastrophe,,0.0,Lockton,1449938.23,497145.64,398114.23,Europe
POL-2023-000066-DF9F,2023-08-10,Europe,Switzerland,Energy,1133066.71,481725.41,0.0,,,Campbell-Clark,High,14938025.91,0.075851,465533.24,30619.04,48882.99,Stop Loss,INR,Jamie Arnold,,,,0.0,CRC Group,1133066.71,481725.41,0.0,Europe
POL-2023-000067-0BFE,2023-03-29,Asia Pacific,New Zealand,Energy,2541632.28,827616.64,1042052.11,1.2591,1.4449,Global Corp  New Zealand,High,54582545.88,0.046565,1539004.1,205175.96,389483.14,Facultative,JPY,Danny Morgan,In Litigation,Fire,,510289.31,Howden,2541632.28,827616.64,1042052.11,Asia
POL-2018-000068-35C2,2018-04-15,Europe,Austria,Workers Compensation,358105.67,215701.88,245727.58,1.1392,1.3976,Harris-Walters,Low,5861692.8,0.061093,61700.54,6068.1,10841.03,Quota Share,USD,Steve Sanchez,Closed,Crop Failure,2019-04-15,0.0,Brown & Brown,358105.67,215701.88,245727.58,Europe
POL-2023-000069-4C98,2023-03-23,Africa & Middle East,Saudi Arabia,Liability,40871.18,17762.12,0.0,,,Wagner-King,Low,528268.16,0.077368,16318.06,980.85,1770946.49,Quota Share,CAD,Derek Zuniga,,,,0.0,Howden,40871.18,17762.12,0.0,Other
POL-2017-000070-11AA,2017-07-25,Africa & Middle East,Kenya,Casualty,55043.28,26876.42,0.0,,,National Holdings  Kenya,High,831474.58,0.0662,17477.03,1323.58,4896.01,Stop Loss,AUD,Lisa Jackson,,,,0.0,Gallagher,55043.28,26876.42,0.0,Other
POL-2017-000071-F3FF,2017-01-24,Europe,Russia,Casualty,998439.8,336799.59,129331.04,0.384,0.6296,Continental PLC  Russia,Specialty,13387836.33,0.074578,581470.88,100768.96,1970843.39,Stop Loss,CHF,Brittney Phillips,Open,Accident,,90206.79,Howden,998439.8,336799.59,129331.04,Europe
POL-2008-000072-DC78,2008-06-06,Europe,Sweden,Terrorism,330199.09,98233.24,66513.73,0.6771,0.9148,Davis Group,Medium,5298717.04,0.062317,169334.74,28228.89,35878.68,Quota Share,BRL,Dylan Miller,Settled,Liability Claim,2008-12-08,0.0,Gallagher,330199.09,98233.24,66513.73,Europe
POL-2018-000073-F543,2018-07-30,Latin America,Peru,Liability,582238.21,337473.38,305312.17,0.9047,1.1411,Pacific Corp  Peru,High,12850088.34,0.04531,222975.85,27953.36,62026.96,Stop Loss,CHF,Matthew Foster,Settled,Storm,2019-06-29,0.0,Gallagher,582238.21,337473.38,305312.17,South America
POL-2014-000074-0733,2014-12-20,Asia Pacific,Hong Kong,Liability,8507.41,5720.38,5525.32,0.9659,1.2981,Williams-Cook,Low,156233.55,0.054453,2631.19,562.22,4901001.08,Surplus,CHF,Tricia Valencia,Closed,Crop Failure,2016-07-23,0.0,Independent Agents,8507.41,5720.38,5525.32,Asia
POL-2013-000075-72D8,2013-03-12,Asia Pacific,Philippines,Health,260892.77,122415.76,130336.06,1.0647,1.2479,Pacific Insurance of Philippines,Catastrophic,29262375.57,0.008916,63545.45,11834.6,2367295.5,Facultative,ZAR,Judy Baker,In Litigation,Fire,,181105.13,Howden,260892.77,122415.76,130336.06,Asia
POL-2007-000076-C01A,2007-04-29,Africa & Middle East,Egypt,Terrorism,103249.17,33686.8,0.0,,,Walsh LLC,Specialty,1401867.72,0.073651,68351.12,10189.56,5854.14,Quota Share,AUD,Sherri Baker,,,,0.0,Hub International,103249.17,33686.8,0.0,Other
POL-2022-000077-5D1F,2022-03-10,Asia Pacific,Thailand,Professional Indemnity,154925.38,78381.09,31054.59,0.3962,0.7079,Atlantic Assurance  Thailand,Specialty,9861749.05,0.01571,33415.37,5465.29,72248.57,Surplus,EUR,Danny Morgan,Closed,Cyber Attack,2023-03-06,0.0,Local Broker Partners,154925.38,78381.09,31054.59,Asia
POL-2012-000078-4AF6,2012-07-15,North America,United States,Health,230200.09,54352.99,0.0,,,Summit Mutual of United States,High,38965304.26,0.005908,154791.35,20290.56,1540963.65,Surplus,USD,Zachary Hicks,,,,0.0,Gallagher,230200.09,54352.99,0.0,North America
POL-2020-000079-E71E,2020-11-06,Latin America,Brazil,Workers Compensation,6802.41,2164.02,0.0,,,Summit Group of Brazil,Low,124251.71,0.054747,4405.77,683.34,906.91,Quota Share,INR,Jessica Callahan,,,,0.0,Gallagher,6802.41,2164.02,0.0,South America
POL-2009-000080-081A,2009-09-24,Africa & Middle East,South Africa,Agriculture,62963.82,23534.6,24923.14,1.059,1.282,Figueroa PLC,Low,5511730.48,0.011424,33380.32,5399.58,30376.74,Aggregate XL,JPY,Amy Silva,Settled,Medical Expense,2009-12-28,0.0,Aon,62963.82,23534.6,24923.14,Other
POL-2022-000081-FBC3,2022-08-30,Europe,France,Marine,239316.05,95135.79,0.0,,,Royal Re of France,High,3012702.56,0.079436,134348.02,31081.88,4349405.22,Quota Share,USD,Carol Tucker,,,,0.0,Willis Towers Watson,239316.05,95135.79,0.0,Europe
POL-2012-000082-CD3B,2012-06-01,North America,United States,Property,1545506.67,749951.87,0.0,,,"Patterson, Smith and Jones",Low,97263120.44,0.01589,547846.29,30922.34,692894.63,Quota Share,USD,Cristian Santos,,,,0.0,Hub International,1545506.67,749951.87,0.0,North America
POL-2006-000083-0B47,2006-07-25,Europe,Spain,Casualty,137666.5,56070.98,0.0,,,United Underwriters  Spain,Specialty,1875683.82,0.073395,76078.83,15558.7,10540.97,Excess of Loss,USD,Jeffrey Chavez,,,,0.0,Marsh,137666.5,56070.98,0.0,Europe
POL-2023-000084-8B87,2023-10-12,Europe,Switzerland,Surety,102479.65,29821.76,28545.39,0.9572,1.2024,Atlantic Mutual of Switzerland,Low,8013615.83,0.012788,68144.03,9860.7,3774536.33,Stop Loss,CAD,Mark Perez,Pending,Storm,,17298.36,CRC Group,102479.65,29821.76,28545.39,Europe
POL-2015-000085-D1A9,2015-08-19,Africa & Middle East,Egypt,Marine,71176.21,41154.15,0.0,,,"Mckee, Gardner and Davenport",High,1016570.41,0.070016,10314.64,2009.92,3810865.12,Surplus,USD,Stephanie Ross,,,,0.0,Gallagher,71176.21,41154.15,0.0,Other
POL-2008-000086-15B0,2008-12-22,Europe,Austria,Motor,891585.01,597895.79,0.0,,,National Corp  Austria,High,30345110.41,0.029382,163182.61,24388.53,2568954.53,Surplus,EUR,Brittney Phillips,,,,0.0,Gallagher,891585.01,597895.79,0.0,Europe
POL-2005-000087-67F3,2005-10-27,Asia Pacific,South Korea,Political Risk,261362.52,154678.87,91554.42,0.5919,0.8433,Premier Corp of South Korea,High,4958120.7,0.052714,50037.03,10723.86,15164.98,Excess of Loss,GBP,William Baker,Denied,Natural Catastrophe,,0.0,Hub International,261362.52,154678.87,91554.42,Asia
