policy_id,period,region,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,gwp_usd,nep_usd,claims_paid_usd,continent
POL-105979,2016-01-16,Ghana,Marine,895557.88,700896.83,434865.15,0.6204,0.8907,Zenith Cover,Market,4162096.68,0.01362,895557.88,700896.83,434865.15,Other
POL-105824,2016-01-17,Nigeria,Agriculture,1395604.63,1073127.0,638340.62,0.5948,0.8671,Zenith Cover,Cyber,9976005.96,0.03193,1395604.63,1073127.0,638340.62,Other
POL-105706,2016-01-17,Tanzania,Liability,745665.13,655959.56,284896.7,0.4343,0.6911,AgriProtect,Credit,5602580.1,0.02237,745665.13,655959.56,284896.7,Other
POL-103585,2016-01-17,Tanzania,Agriculture,47870.63,43613.03,18561.55,0.4256,0.5887,Coastal Mutual,Market,343519.57,0.01954,47870.63,43613.03,18561.55,Other
POL-109020,2016-01-17,Zambia,Liability,185507.95,163204.22,104856.87,0.6425,0.8367,SunTrust Re,Nat Cat,837819.12,0.029,185507.95,163204.22,104856.87,Other
POL-103344,2016-01-18,Uganda,Property,628364.61,472713.03,310896.45,0.6577,0.8131,Acentria Group,Weather,3020330.28,0.02798,628364.61,472713.03,310896.45,Other
POL-107768,2016-01-18,South Africa,Liability,580878.33,471066.66,288772.49,0.613,0.8991,Acentria Group,Operational,3788410.01,0.03178,580878.33,471066.66,288772.49,Other
POL-102921,2016-01-18,Ethiopia,Aviation,1243042.02,1133931.89,608207.94,0.5364,0.7605,Pinnacle Assurance,Nat Cat,7266368.69,0.03676,1243042.02,1133931.89,608207.94,Other
POL-105231,2016-01-18,Rwanda,Property,1605335.02,1414855.95,719716.02,0.5087,0.8104,Coastal Mutual,Operational,11947075.8,0.02141,1605335.02,1414855.95,719716.02,Other
POL-109267,2016-01-18,Egypt,Marine,1478262.2,1386910.98,820377.79,0.5915,0.7487,Metro Insurers,Operational,7252439.13,0.01368,1478262.2,1386910.98,820377.79,Other
POL-113278,2016-01-18,Rwanda,Agriculture,148355.29,127959.58,73660.02,0.5757,0.8778,Zenith Cover,Nat Cat,1143383.63,0.02163,148355.29,127959.58,73660.02,Other
POL-116988,2016-01-19,Egypt,Liability,1615436.76,1499799.73,1000006.27,0.6668,0.9253,Coastal Mutual,Cyber,5167519.59,0.01868,1615436.76,1499799.73,1000006.27,Other
POL-111378,2016-01-19,Nigeria,Aviation,1745796.39,1525534.99,764158.01,0.5009,0.7967,Zenith Cover,Nat Cat,5866483.27,0.03527,1745796.39,1525534.99,764158.01,Other
POL-103586,2016-01-19,Egypt,Aviation,1402579.75,1184873.97,711014.12,0.6001,0.8927,Coastal Mutual,Weather,8539779.29,0.03486,1402579.75,1184873.97,711014.12,Other
POL-100715,2016-01-19,Tanzania,Property,1549520.57,1116027.93,633833.91,0.5679,0.8265,Coastal Mutual,Market,9138610.55,0.01248,1549520.57,1116027.93,633833.91,Other
POL-106096,2016-01-20,Ghana,Motor,1187429.02,1086842.92,441425.26,0.4062,0.6878,Metro Insurers,Market,7195758.62,0.03524,1187429.02,1086842.92,441425.26,Other
POL-103512,2016-01-20,Ghana,Marine,796299.76,608724.03,334811.94,0.55,0.8649,Coastal Mutual,Market,2965105.69,0.02985,796299.76,608724.03,334811.94,Other
POL-111858,2016-01-20,Tanzania,Cyber,441775.08,320366.71,163604.29,0.5107,0.756,SunTrust Re,Cyber,1759315.22,0.01959,441775.08,320366.71,163604.29,Other
POL-105662,2016-01-20,Tanzania,Property,1009297.13,831236.45,470589.58,0.5661,0.8446,Continental Re,Cyber,5788829.31,0.04445,1009297.13,831236.45,470589.58,Other
POL-107384,2016-01-20,Rwanda,Agriculture,1569548.87,1250336.37,744570.33,0.5955,0.8168,Pinnacle Assurance,Cyber,8632833.8,0.04238,1569548.87,1250336.37,744570.33,Other
POL-100001,2016-01-20,Zambia,Agriculture,863565.52,679338.61,393032.01,0.5786,0.7719,AgriProtect,Operational,4980602.7,0.04483,863565.52,679338.61,393032.01,Other
POL-115009,2016-01-21,Tanzania,Aviation,608209.54,515217.0,261575.38,0.5077,0.7784,SunTrust Re,Weather,4536671.0,0.01493,608209.54,515217.0,261575.38,Other
POL-117790,2016-01-21,Egypt,Aviation,634765.79,526642.25,288125.69,0.5471,0.7803,Acentria Group,Cyber,3286861.38,0.01766,634765.79,526642.25,288125.69,Other
POL-107311,2016-01-21,Ghana,Liability,775143.14,679870.72,435336.39,0.6403,0.8298,Continental Re,Operational,5522249.24,0.02297,775143.14,679870.72,435336.39,Other
POL-104980,2016-01-21,South Africa,Aviation,1582403.36,1232590.85,601908.64,0.4883,0.7403,Continental Re,Cyber,8576601.61,0.03141,1582403.36,1232590.85,601908.64,Other
POL-115399,2016-01-21,Ghana,Motor,529314.87,412466.96,207318.83,0.5026,0.7381,Acentria Group,Credit,3451388.52,0.01595,529314.87,412466.96,207318.83,Other
POL-100842,2016-01-21,Ghana,Liability,198980.68,166850.25,94443.43,0.566,0.7994,Acentria Group,Credit,1102237.05,0.02921,198980.68,166850.25,94443.43,Other
POL-100077,2016-01-21,Ghana,Agriculture,1377673.97,1014117.08,567246.44,0.5594,0.8475,Pinnacle Assurance,Weather,10804812.1,0.01984,1377673.97,1014117.08,567246.44,Other
POL-113778,2016-01-21,Zambia,Engineering,41445.81,32752.02,15969.47,0.4876,0.6748,Metro Insurers,Cyber,150237.11,0.02981,41445.81,32752.02,15969.47,Other
POL-102988,2016-01-22,Nigeria,Liability,1734857.44,1360939.8,652408.46,0.4794,0.6326,Metro Insurers,Nat Cat,9631677.35,0.00917,1734857.44,1360939.8,652408.46,Other
POL-116098,2016-01-22,Kenya,Agriculture,1025132.85,945483.08,544096.97,0.5755,0.8335,Pinnacle Assurance,Weather,4957010.48,0.04403,1025132.85,945483.08,544096.97,Africa
POL-115848,2016-01-22,Kenya,Cyber,102710.05,84937.76,48121.19,0.5665,0.8184,Continental Re,Operational,442270.51,0.03007,102710.05,84937.76,48121.19,Africa
POL-115196,2016-01-22,Tanzania,Engineering,1118445.33,1008126.06,412524.18,0.4092,0.584,SunTrust Re,Credit,8063308.24,0.022,1118445.33,1008126.06,412524.18,Other
POL-112773,2016-01-23,Kenya,Agriculture,332088.44,267788.08,170584.09,0.637,0.9192,Pinnacle Assurance,Nat Cat,1222562.49,0.0192,332088.44,267788.08,170584.09,Africa
POL-101077,2016-01-23,Uganda,Property,461531.01,417969.93,203030.28,0.4858,0.7491,Pinnacle Assurance,Credit,1644067.08,0.02321,461531.01,417969.93,203030.28,Other
POL-108669,2016-01-23,Rwanda,Agriculture,1192790.77,970748.23,508835.25,0.5242,0.7584,Continental Re,Weather,6220848.45,0.01746,1192790.77,970748.23,508835.25,Other
POL-107533,2016-01-24,Uganda,Agriculture,393201.09,338055.36,177191.05,0.5241,0.8395,Coastal Mutual,Weather,1972298.12,0.01756,393201.09,338055.36,177191.05,Other
POL-101347,2016-01-24,Uganda,Marine,707678.48,630544.83,339940.33,0.5391,0.7826,Zenith Cover,Nat Cat,4888394.62,0.02699,707678.48,630544.83,339940.33,Other
POL-111824,2016-01-24,Rwanda,Property,1152536.54,1044491.74,707979.93,0.6778,0.8513,Pinnacle Assurance,Nat Cat,8845163.25,0.03351,1152536.54,1044491.74,707979.93,Other
POL-113379,2016-01-24,Nigeria,Motor,696575.43,601381.42,304645.88,0.5066,0.683,AgriProtect,Weather,3048439.8,0.0375,696575.43,601381.42,304645.88,Other
POL-100892,2016-01-24,Ethiopia,Liability,1414877.15,1042905.01,550797.15,0.5281,0.6987,AgriProtect,Nat Cat,8139868.48,0.0422,1414877.15,1042905.01,550797.15,Other
POL-104873,2016-01-25,Ghana,Property,202217.98,152520.0,55181.59,0.3618,0.5296,Continental Re,Credit,1247842.38,0.02164,202217.98,152520.0,55181.59,Other
POL-102473,2016-01-25,Tanzania,Marine,240107.64,173130.37,114225.4,0.6598,0.8658,Pinnacle Assurance,Weather,844737.74,0.03486,240107.64,173130.37,114225.4,Other
POL-112781,2016-01-25,Kenya,Marine,1407712.06,1272375.58,686491.07,0.5395,0.8312,Continental Re,Market,5943916.72,0.03291,1407712.06,1272375.58,686491.07,Africa
POL-110072,2016-01-26,Kenya,Marine,724440.59,617670.73,332404.85,0.5382,0.7151,Acentria Group,Credit,4012479.44,0.02762,724440.59,617670.73,332404.85,Africa
POL-103292,2016-01-26,Ethiopia,Marine,1587839.08,1274180.64,611057.46,0.4796,0.7448,Continental Re,Cyber,6585925.84,0.02908,1587839.08,1274180.64,611057.46,Other
POL-110009,2016-01-26,Kenya,Agriculture,370868.34,323512.54,207682.56,0.642,0.9401,Pinnacle Assurance,Operational,2524561.74,0.0414,370868.34,323512.54,207682.56,Africa
POL-112454,2016-01-27,Uganda,Liability,380030.34,320484.03,160087.57,0.4995,0.6741,Continental Re,Credit,2373937.19,0.02336,380030.34,320484.03,160087.57,Other
POL-114825,2016-01-27,South Africa,Property,663661.33,621575.41,362569.47,0.5833,0.7348,AgriProtect,Operational,2283884.25,0.04037,663661.33,621575.41,362569.47,Other
POL-112692,2016-01-28,Ethiopia,Motor,1521113.38,1279993.72,588596.29,0.4598,0.6685,Zenith Cover,Nat Cat,8153700.04,0.03443,1521113.38,1279993.72,588596.29,Other
POL-106366,2016-01-28,Kenya,Engineering,571717.14,443070.14,223508.57,0.5045,0.8071,Pinnacle Assurance,Credit,2995876.93,0.0082,571717.14,443070.14,223508.57,Africa
POL-106345,2016-01-28,South Africa,Agriculture,409547.95,319474.18,212429.8,0.6649,0.9553,SunTrust Re,Nat Cat,1461331.68,0.01715,409547.95,319474.18,212429.8,Other
POL-115156,2016-01-28,South Africa,Cyber,1294227.24,1204081.25,548278.27,0.4553,0.7637,Acentria Group,Market,4525822.46,0.01322,1294227.24,1204081.25,548278.27,Other
POL-117140,2016-01-28,Zambia,Agriculture,1187340.67,1068014.81,647103.7,0.6059,0.8993,Coastal Mutual,Operational,6660213.2,0.02474,1187340.67,1068014.81,647103.7,Other
POL-115276,2016-01-28,Uganda,Cyber,1177991.07,870412.7,449862.42,0.5168,0.799,Continental Re,Credit,6109687.17,0.04323,1177991.07,870412.7,449862.42,Other
POL-116059,2016-01-28,Egypt,Motor,1082738.11,916250.79,564823.31,0.6165,0.7712,Acentria Group,Operational,8441564.6,0.00802,1082738.11,916250.79,564823.31,Other
POL-101273,2016-01-29,South Africa,Motor,453357.41,403224.98,186642.22,0.4629,0.7612,Zenith Cover,Weather,3310998.95,0.03913,453357.41,403224.98,186642.22,Other
POL-101023,2016-01-29,Tanzania,Liability,1212810.84,910600.08,463936.81,0.5095,0.6747,Zenith Cover,Weather,5387489.81,0.01685,1212810.84,910600.08,463936.81,Other
POL-101981,2016-01-29,Rwanda,Marine,673802.17,582542.51,272719.51,0.4682,0.753,Acentria Group,Cyber,5139359.71,0.01582,673802.17,582542.51,272719.51,Other
POL-108412,2016-01-29,Ghana,Engineering,100727.34,75553.53,48420.92,0.6409,0.9606,SunTrust Re,Credit,548491.25,0.01719,100727.34,75553.53,48420.92,Other
POL-117949,2016-01-29,Egypt,Engineering,1749250.72,1603373.66,700785.97,0.4371,0.7206,Metro Insurers,Nat Cat,12182746.76,0.02345,1749250.72,1603373.66,700785.97,Other
POL-117033,2016-01-29,Zambia,Marine,58096.59,44606.23,29860.68,0.6694,0.8575,Pinnacle Assurance,Operational,331607.09,0.03623,58096.59,44606.23,29860.68,Other
POL-115871,2016-01-30,Rwanda,Engineering,1649738.27,1223851.17,620027.44,0.5066,0.7725,Metro Insurers,Cyber,8290399.64,0.01577,1649738.27,1223851.17,620027.44,Other
POL-114604,2016-01-30,Egypt,Agriculture,712987.0,532188.8,249532.06,0.4689,0.7256,Pinnacle Assurance,Weather,2998321.92,0.0138,712987.0,532188.8,249532.06,Other
POL-108719,2016-01-30,Nigeria,Marine,829026.69,671513.34,408331.12,0.6081,0.8471,Pinnacle Assurance,Cyber,3221389.45,0.0142,829026.69,671513.34,408331.12,Other
POL-112457,2016-01-30,Kenya,Cyber,1667212.79,1309799.24,570103.9,0.4353,0.7447,AgriProtect,Nat Cat,12571425.8,0.03233,1667212.79,1309799.24,570103.9,Africa
POL-114977,2016-01-30,Tanzania,Engineering,219865.88,201654.24,124017.0,0.615,0.8114,Coastal Mutual,Operational,1757573.99,0.01309,219865.88,201654.24,124017.0,Other
