policy_id,period,region,sub_region,country,line_of_business,gross_written_premium,net_earned_premium,claims_paid,loss_ratio,combined_ratio,client_name,risk_category,exposure,premium_rate,ceded_premium,commission,retention,treaty_type,currency,underwriter,claim_status,cause_of_loss,settlement_date,reserve,broker,gwp_usd,nep_usd,claims_paid_usd,continent
AFR-POL-2018-000010-0E56,2018-09-12,Africa,East Africa,Uganda,Travel,85454.2,66297.93,0.0,,,Cooper-Molina (Uganda),Catastrophic,3045287.55,0.028061,19100.56,5308.2,21669.55,Excess of Loss,ZAR,Paula Scott,,,,0.0,Aon,85454.2,66297.93,0.0,Africa
AFR-POL-2014-000011-1537,2014-08-02,Africa,East Africa,Ethiopia,Cyber,70577.01,57049.05,26162.69,0.4586,0.825,Pan-African Underwriters  Ethiopia,Low,793700.15,0.088922,3711.93,705.13,3403.07,Facultative,ZAR,Mark Booker,Closed,Civil Unrest,2015-01-07,0.0,Independent African Agents,70577.01,57049.05,26162.69,Africa
AFR-POL-2025-000012-B1CD,2025-07-28,Africa,West Africa,Ivory Coast,Credit,15031.34,8584.7,7067.78,0.8233,1.0586,Sahara Underwriters of Ivory Coast,Low,840766.41,0.017878,3503.56,1029.79,10516.23,Quota Share,USD,Lori Pham,Open,Liability Claim,,8739.58,Lockton,15031.34,8584.7,7067.78,Africa
AFR-POL-2018-000013-AC06,2018-04-06,Africa,West Africa,Nigeria,Life,18394.55,5715.6,4071.79,0.7124,1.0034,Ubuntu PLC of Nigeria,Catastrophic,322849.24,0.056976,10184.44,2876.21,2457.14,Proportional,NGN,James Jones,In Litigation,Earthquake,,1710.44,Willis Towers Watson,18394.55,5715.6,4071.79,Africa
AFR-POL-2019-000014-0E0F,2019-10-10,Africa,East Africa,Kenya,Engineering,54169.62,23408.0,0.0,,,Sahara Holdings of Kenya,Catastrophic,4105906.69,0.013193,21351.14,5374.34,40974.62,Excess of Loss,KES,Robert Clark,,,,0.0,Regional Partners,54169.62,23408.0,0.0,Africa
AFR-POL-2015-000015-1CEC,2015-02-20,Africa,North Africa,Morocco,Casualty,99318.43,23963.99,8332.28,0.3477,0.6037,Sahara Underwriters of Morocco,High,7848834.88,0.012654,71045.26,20627.06,47240.53,Aggregate XL,MAD,Kyle Jones,Settled,Medical Expense,2017-02-16,0.0,Sanlam Brokers,99318.43,23963.99,8332.28,Africa
AFR-POL-2012-000016-15B5,2012-01-30,Africa,North Africa,Egypt,Casualty,5113.24,3016.83,0.0,,,Regional Group  Egypt,Catastrophic,65878.66,0.077616,510.99,143.87,523.93,Quota Share,USD,Misty Stout,,,,0.0,Lockton,5113.24,3016.83,0.0,Africa
AFR-POL-2005-000017-9B2A,2005-09-17,Africa,East Africa,Kenya,Engineering,110298.92,72871.16,0.0,,,National Underwriters of Kenya,Catastrophic,1524162.15,0.072367,26905.96,5910.68,6609.71,Proportional,USD,James Jones,,,,0.0,Sanlam Brokers,110298.92,72871.16,0.0,Africa
AFR-POL-2022-000018-8352,2022-07-18,Africa,North Africa,Egypt,Cyber,934810.04,339028.38,0.0,,,National Group of Egypt,High,67272014.8,0.013896,579960.71,80903.98,578490.85,Excess of Loss,USD,Amanda Taylor,,,,0.0,Aon,934810.04,339028.38,0.0,Africa
AFR-POL-2021-000019-DB00,2021-03-03,Africa,Southern Africa,South Africa,Political Risk,387235.95,226416.74,626608.33,2.7675,3.0245,Pan-African Holdings  South Africa,Medium,3370315.07,0.114896,138550.82,29961.6,2097822.37,Proportional,ZAR,Cynthia Webb,Closed,Fire,2023-07-25,0.0,Marsh,387235.95,226416.74,626608.33,Africa
AFR-POL-2009-000020-1A41,2009-03-31,Africa,East Africa,Kenya,Marine,394238.14,106532.33,58006.85,0.5445,0.941,Reyes Inc (Kenya),Specialty,5702276.84,0.069137,247410.34,56519.86,138632.83,Proportional,USD,Steven Johnson,Settled,Accident,2011-09-11,0.0,Sanlam Brokers,394238.14,106532.33,58006.85,Africa
AFR-POL-2011-000021-07CC,2011-01-24,Africa,West Africa,Nigeria,Professional Indemnity,80642.51,17961.09,0.0,,,Bennett-Baker (Nigeria),Medium,8576933.22,0.009402,51639.37,10599.27,36392.83,Quota Share,USD,Evelyn Christian,,,,0.0,Independent African Agents,80642.51,17961.09,0.0,Africa
AFR-POL-2005-000022-A833,2005-12-12,Africa,North Africa,Morocco,Liability,63828.9,32300.83,11001.66,0.3406,0.6189,Gates Group (Morocco),Medium,1105171.12,0.057755,31207.82,6910.75,10167.61,Excess of Loss,EUR,Craig Gonzalez,In Litigation,Industrial Accident,,7235.24,Sanlam Brokers,63828.9,32300.83,11001.66,Africa
AFR-POL-2021-000023-7574,2021-12-28,Africa,East Africa,Ethiopia,Surety,38032.56,20945.32,17357.39,0.8287,1.1305,Premier Insurers of Ethiopia,Emerging,342159.23,0.111155,11456.01,1279.47,2939.5,Excess of Loss,ZAR,Craig Gonzalez,Settled,Machinery Breakdown,2024-08-27,0.0,Independent African Agents,38032.56,20945.32,17357.39,Africa
AFR-POL-2016-000024-EBAC,2016-05-25,Africa,Southern Africa,South Africa,Microinsurance,127075.83,55335.34,55307.67,0.9995,1.219,Jones-Phillips (South Africa),Catastrophic,1314631.04,0.096663,71002.42,19805.5,12113.84,Excess of Loss,EUR,Hannah Pitts,Pending,Civil Unrest,,70270.48,Old Mutual Intermediaries,127075.83,55335.34,55307.67,Africa
AFR-POL-2025-000025-A754,2025-09-12,Africa,Central Africa,Angola,Directors & Officers,252710.62,84332.61,86196.36,1.0221,1.3263,African PLC of Angola,Low,6036259.75,0.041865,138332.83,33246.23,28493.67,Excess of Loss,USD,Craig Gonzalez,In Litigation,Medical Expense,,108165.72,Sanlam Brokers,252710.62,84332.61,86196.36,Africa
AFR-POL-2010-000026-C920,2010-05-08,Africa,East Africa,Kenya,Political Risk,155407.67,70447.11,0.0,,,Shaw-Jacobs (Kenya),Catastrophic,2523605.97,0.061582,72613.77,17735.01,7450.52,Proportional,USD,Veronica Barnett,,,,0.0,Aon,155407.67,70447.11,0.0,Africa
AFR-POL-2019-000027-57A9,2019-01-08,Africa,North Africa,Algeria,Workers Compensation,2541.37,1069.07,0.0,,,Raymond Inc (Algeria),Medium,22944.53,0.110761,1001.24,209.75,236.8,Aggregate XL,USD,James Hammond,,,,0.0,Sanlam Brokers,2541.37,1069.07,0.0,Africa
AFR-POL-2018-000028-D70B,2018-01-08,Africa,North Africa,Sudan,Microinsurance,90985.52,49065.99,26917.6,0.5486,0.8914,Pan-African PLC  Sudan,Catastrophic,12074796.4,0.007535,21918.1,1801.92,151008.9,Quota Share,USD,Kelsey Pacheco,In Litigation,Mortality,,33515.06,Lockton,90985.52,49065.99,26917.6,Africa
AFR-POL-2008-000029-2BBE,2008-02-07,Africa,East Africa,Tanzania,Credit,35602.03,17624.53,0.0,,,Horizon Holdings  Tanzania,Catastrophic,341890.17,0.104133,9127.71,2580.59,3085.81,Quota Share,USD,Mark Villanueva,,,,0.0,Howden,35602.03,17624.53,0.0,Africa
AFR-POL-2017-000030-D9BB,2017-06-20,Africa,East Africa,Ethiopia,Credit,89190.54,44688.05,29293.02,0.6555,0.899,"Price, Rodriguez and Berry (Ethiopia)",Low,3411369.56,0.026145,15263.9,1730.55,1758805.42,Stop Loss,EUR,Evan Peterson,Closed,Political Violence,2018-10-06,0.0,Willis Towers Watson,89190.54,44688.05,29293.02,Africa
AFR-POL-2014-000031-DF75,2014-04-11,Africa,Southern Africa,South Africa,Cyber,322988.32,130564.36,123513.88,0.946,1.1492,Premier Group  South Africa,Specialty,8818748.75,0.036625,149161.4,44199.68,100063.37,Stop Loss,ZAR,Stefanie Tucker,In Litigation,Mortality,,162596.68,Regional Partners,322988.32,130564.36,123513.88,Africa
AFR-POL-2019-000032-CC47,2019-11-09,Africa,Southern Africa,Zimbabwe,Travel,11381.95,9733.35,0.0,,,Horizon Insurers of Zimbabwe,High,96978.71,0.117365,1230.55,198.14,775.93,Aggregate XL,ZAR,Thomas Berry,,,,0.0,Willis Towers Watson,11381.95,9733.35,0.0,Africa
AFR-POL-2014-000033-2292,2014-03-21,Africa,East Africa,Tanzania,Surety,10164.35,6270.07,3369.54,0.5374,0.7776,African Assurance of Tanzania,Specialty,97416.18,0.104339,3329.88,714.08,1004.64,Aggregate XL,USD,Brandon Fuller,Open,Natural Catastrophe,,1822.78,Marsh,10164.35,6270.07,3369.54,Africa
AFR-POL-2010-000034-E26B,2010-08-11,Africa,Southern Africa,South Africa,Workers Compensation,183211.1,77129.35,37762.53,0.4896,0.8494,Savanna Holdings of South Africa,High,6101652.93,0.030026,89462.13,9673.19,1129160.18,Facultative,USD,Shelby Robertson,Denied,Storm,,0.0,Jubilee Brokers,183211.1,77129.35,37762.53,Africa
AFR-POL-2011-000035-F6DB,2011-06-03,Africa,West Africa,Ivory Coast,Motor,137119.18,71209.65,54831.43,0.77,1.014,Nile Insurers of Ivory Coast,Catastrophic,2126762.63,0.064473,65566.74,6957.58,2240916.65,Aggregate XL,EUR,Mark Villanueva,Denied,Liability Claim,,0.0,Sanlam Brokers,137119.18,71209.65,54831.43,Africa
AFR-POL-2024-000036-97AB,2024-02-09,Africa,Southern Africa,South Africa,Surety,1087105.32,454151.35,191288.55,0.4212,0.7782,Pan-African Re of South Africa,Specialty,13605801.25,0.0799,395045.53,57893.37,89193.98,Quota Share,USD,Mark Booker,Pending,Fire,,84343.45,Howden,1087105.32,454151.35,191288.55,Africa
AFR-POL-2015-000037-FBAE,2015-08-14,Africa,Southern Africa,South Africa,Energy,9519902.14,5414606.18,5916540.17,1.0927,1.4674,"Nguyen, Lucas and Adams (South Africa)",Emerging,81370860.2,0.116994,2513213.51,348903.22,783019.27,Surplus,USD,Evan Peterson,Closed,Theft,2017-01-07,0.0,Local Broker Network,9519902.14,5414606.18,5916540.17,Africa
AFR-POL-2010-000038-57CA,2010-12-12,Africa,Southern Africa,South Africa,Microinsurance,14284.0,4283.43,0.0,,,Ubuntu PLC  South Africa,Low,680308.64,0.020996,9267.49,2535.64,4146.8,Aggregate XL,ZAR,Jeffrey Smith,,,,0.0,Gallagher,14284.0,4283.43,0.0,Africa
AFR-POL-2012-000039-0F4A,2012-11-02,Africa,North Africa,Tunisia,Energy,396748.74,58387.63,39294.87,0.673,1.0281,Hart-Cooper (Tunisia),Medium,13217377.85,0.030017,290913.36,34943.06,2009529.54,Excess of Loss,EUR,Mary Jackson,Pending,Flood,,30070.85,Regional Partners,396748.74,58387.63,39294.87,Africa
AFR-POL-2018-000040-ABA1,2018-12-22,Africa,Central Africa,Angola,Health,191856.97,128572.06,83636.13,0.6505,0.987,Pan-African PLC  Angola,Low,1756801.6,0.109208,46291.89,13283.4,1046535.59,Excess of Loss,USD,Arthur Kelly,Open,Civil Unrest,,76722.6,Regional Partners,191856.97,128572.06,83636.13,Africa
AFR-POL-2024-000041-D5A9,2024-07-10,Africa,East Africa,Rwanda,Catastrophe,83947.75,77967.11,0.0,,,Ubuntu Insurers of Rwanda,Medium,1105508.6,0.075936,4531.04,685.74,2331536.79,Proportional,USD,Evelyn Christian,,,,0.0,Sanlam Brokers,83947.75,77967.11,0.0,Africa
AFR-POL-2011-000042-21C9,2011-06-03,Africa,East Africa,Kenya,Microinsurance,17961.98,9804.68,0.0,,,Horizon Insurance  Kenya,Specialty,609924.18,0.02945,3841.04,1029.23,5323.35,Quota Share,USD,Shelby Robertson,,,,0.0,Regional Partners,17961.98,9804.68,0.0,Africa
AFR-POL-2025-000043-5695,2025-03-29,Africa,North Africa,Egypt,Aviation,384153.31,112801.13,56039.6,0.4968,0.7324,Guardian Mutual  Egypt,Specialty,5374006.11,0.071484,249682.43,58502.0,1206014.17,Surplus,EGP,Arthur Kelly,In Litigation,Storm,,24924.75,Local Broker Network,384153.31,112801.13,56039.6,Africa
AFR-POL-2018-000044-8413,2018-12-08,Africa,West Africa,Ivory Coast,Casualty,55498.36,15935.38,0.0,,,Regional Holdings  Ivory Coast,Low,745065.3,0.074488,30759.2,8677.07,1091347.23,Quota Share,EUR,Cameron Proctor,,,,0.0,Jubilee Brokers,55498.36,15935.38,0.0,Africa
AFR-POL-2024-000045-37F5,2024-12-08,Africa,North Africa,Tunisia,Motor,107522.61,64170.23,0.0,,,"Gibson, Andrews and Leblanc (Tunisia)",Medium,11186207.53,0.009612,16094.45,2634.01,101344.29,Surplus,EUR,Shelby Robertson,,,,0.0,Jubilee Brokers,107522.61,64170.23,0.0,Africa
AFR-POL-2006-000046-316C,2006-08-12,Africa,Southern Africa,South Africa,Cyber,43299.82,9789.51,26189.88,2.6753,2.9446,Friedman-White (South Africa),Medium,4607934.21,0.009397,32072.22,4935.23,14984.11,Facultative,ZAR,Evelyn Christian,Pending,Business Interruption,,26087.44,Aon,43299.82,9789.51,26189.88,Africa
AFR-POL-2010-000047-8145,2010-09-03,Africa,East Africa,Kenya,Professional Indemnity,65536.77,32464.99,0.0,,,Patterson Group (Kenya),Medium,626125.9,0.10467,21681.27,3886.24,2346.75,Excess of Loss,KES,Rachel Webb,,,,0.0,Howden,65536.77,32464.99,0.0,Africa
AFR-POL-2014-000048-0490,2014-05-04,Africa,West Africa,Ghana,Aviation,80406.63,45641.95,22419.33,0.4912,0.7593,"Anderson, Nichols and Ruiz (Ghana)",High,8474101.8,0.009489,32126.44,8027.18,43948.03,Facultative,ZAR,Melinda Little,Open,Drought,,29284.03,Independent African Agents,80406.63,45641.95,22419.33,Africa
AFR-POL-2006-000049-1237,2006-02-21,Africa,Southern Africa,South Africa,Aviation,920812.71,333800.24,102943.99,0.3084,0.5395,Premier Assurance  South Africa,Low,7971433.27,0.115514,538368.3,156011.02,30713.26,Proportional,USD,Steven Johnson,Denied,Drought,,0.0,Aon,920812.71,333800.24,102943.99,Africa
AFR-POL-2013-000050-DDA8,2013-12-07,Africa,East Africa,Kenya,Surety,415175.39,154636.64,129152.52,0.8352,1.1623,Regional Group  Kenya,Specialty,3782779.37,0.109754,160355.29,31639.61,33014.91,Surplus,KES,James Hammond,In Litigation,Crop Failure,,87140.68,Regional Partners,415175.39,154636.64,129152.52,Africa
AFR-POL-2007-000051-5596,2007-05-08,Africa,Central Africa,Angola,Professional Indemnity,119965.8,72721.89,0.0,,,Regional Re  Angola,Medium,1482416.29,0.080926,15338.18,1292.72,11880.84,Facultative,EUR,Thomas Berry,,,,0.0,Sanlam Brokers,119965.8,72721.89,0.0,Africa
AFR-POL-2008-000052-79DF,2008-03-12,Africa,Southern Africa,Mauritius,Health,16024.83,12298.04,12864.98,1.0461,1.377,Premier Insurance  Mauritius,Emerging,193029.63,0.083017,2763.6,815.78,621201.33,Quota Share,EUR,Rachel Webb,In Litigation,Motor Accident,,6955.85,Gallagher,16024.83,12298.04,12864.98,Africa
AFR-POL-2007-000053-377D,2007-04-22,Africa,East Africa,Kenya,Liability,51275.83,27303.98,15041.76,0.5509,0.7758,Continental Insurance  Kenya,Low,517893.66,0.099008,11431.52,2043.44,5133.35,Proportional,KES,Jeffrey Fisher,Settled,Machinery Breakdown,2009-01-14,0.0,African Risk Capacity,51275.83,27303.98,15041.76,Africa
AFR-POL-2006-000054-59D9,2006-08-15,Africa,West Africa,Nigeria,Motor,47933.24,26701.01,11051.55,0.4139,0.7856,Pan-African Assurance of Nigeria,Medium,532712.22,0.08998,19190.22,2351.74,4411.31,Quota Share,NGN,Kelsey Pacheco,Denied,Motor Accident,,0.0,Regional Partners,47933.24,26701.01,11051.55,Africa
AFR-POL-2021-000055-2665,2021-01-31,Africa,Central Africa,Angola,Property,316563.1,204919.99,0.0,,,"Thomas, Harrell and Snow (Angola)",Emerging,7141852.31,0.044325,75740.94,7625.4,81515.72,Facultative,ZAR,Cameron Proctor,,,,0.0,Lockton,316563.1,204919.99,0.0,Africa
AFR-POL-2023-000056-EC27,2023-10-02,Africa,East Africa,Tanzania,Property,18537.78,10413.83,0.0,,,Continental Re of Tanzania,Catastrophic,305647.31,0.060651,2010.41,479.02,2411.59,Aggregate XL,EUR,Paula Scott,,,,0.0,Aon,18537.78,10413.83,0.0,Africa
AFR-POL-2016-000057-888B,2016-01-12,Africa,Southern Africa,Eswatini,Travel,22865.32,4531.98,4132.26,0.9118,1.2714,Sahara Holdings of Eswatini,Specialty,315339.29,0.07251,16689.95,3002.34,3871.97,Facultative,EUR,Jerome Whitehead,Open,Liability Claim,,3963.48,Sanlam Brokers,22865.32,4531.98,4132.26,Africa
AFR-POL-2025-000058-CC27,2025-04-14,Africa,West Africa,Benin,Directors & Officers,9829.49,3354.46,0.0,,,Ubuntu Insurers  Benin,Catastrophic,300144.87,0.032749,6044.4,1370.28,720.15,Proportional,USD,Cynthia Webb,,,,0.0,Willis Towers Watson,9829.49,3354.46,0.0,Africa
AFR-POL-2010-000059-9146,2010-08-10,Africa,West Africa,Ghana,Marine,29473.99,5150.51,8614.74,1.6726,1.9388,Harper Inc (Ghana),Medium,373432.16,0.078927,20504.1,4630.96,1709.65,Stop Loss,EUR,Tanya Lamb,Settled,Machinery Breakdown,2012-11-04,0.0,Independent African Agents,29473.99,5150.51,8614.74,Africa
AFR-POL-2005-000060-87FD,2005-02-02,Africa,West Africa,Benin,Microinsurance,32641.04,17075.52,0.0,,,Nile Mutual  Benin,High,286505.92,0.113928,3327.6,298.93,2027.42,Stop Loss,XOF,Jennifer Robbins,,,,0.0,Gallagher,32641.04,17075.52,0.0,Africa
AFR-POL-2011-000061-824D,2011-08-23,Africa,North Africa,Egypt,Terrorism,233072.06,143426.34,0.0,,,Savanna Group  Egypt,High,40752448.02,0.005719,19530.3,3133.41,474605.53,Proportional,EGP,Charles Tyler,,,,0.0,Sanlam Brokers,233072.06,143426.34,0.0,Africa
AFR-POL-2023-000062-C2F2,2023-06-17,Africa,West Africa,Senegal,Cyber,37275.53,19513.4,16184.41,0.8294,1.1822,Savanna Insurers  Senegal,High,411876.47,0.090502,14319.69,3894.65,3398.92,Proportional,EUR,David Bell,Pending,Political Violence,,22705.96,Old Mutual Intermediaries,37275.53,19513.4,16184.41,Africa
AFR-POL-2023-000063-A9CF,2023-11-27,Africa,Central Africa,Democratic Republic of the Congo,Catastrophe,11084.71,8439.99,8696.57,1.0304,1.2841,Guardian Group of Democratic Republic of the Congo,Emerging,665501.73,0.016656,2478.97,722.48,3994.06,Proportional,USD,Misty Stout,In Litigation,Mortality,,2816.17,Aon,11084.71,8439.99,8696.57,Africa
AFR-POL-2019-000064-95F8,2019-09-21,Africa,West Africa,Guinea,Cyber,50671.37,29917.74,13271.51,0.4436,0.6742,African PLC of Guinea,Catastrophic,443260.89,0.114315,12577.08,1685.86,4620.34,Surplus,USD,Brandon Fuller,Closed,Civil Unrest,2020-06-20,0.0,Marsh,50671.37,29917.74,13271.51,Africa
AFR-POL-2013-000065-0238,2013-02-03,Africa,West Africa,Nigeria,Catastrophe,235089.99,163169.12,0.0,,,Gordon-Blankenship (Nigeria),Catastrophic,4368532.57,0.053814,37662.84,3445.96,30662.1,Proportional,NGN,Melinda Little,,,,0.0,Independent African Agents,235089.99,163169.12,0.0,Africa
AFR-POL-2007-000066-E491,2007-11-04,Africa,North Africa,Morocco,Life,23408.58,8917.5,0.0,,,"Schroeder, Roberts and Carpenter (Morocco)",Medium,260680.9,0.089798,11624.65,2014.31,1499263.32,Surplus,MAD,Cameron Proctor,,,,0.0,Marsh,23408.58,8917.5,0.0,Africa
AFR-POL-2017-000067-069E,2017-08-27,Africa,East Africa,Kenya,Marine,132293.25,63782.01,47995.96,0.7525,1.0404,Flores Group (Kenya),High,23599230.69,0.005606,49526.06,8056.08,236084.17,Proportional,USD,Paula Scott,Settled,Medical Expense,2018-02-28,0.0,Gallagher,132293.25,63782.01,47995.96,Africa
AFR-POL-2013-000068-9AC4,2013-05-02,Africa,West Africa,Mali,Agriculture,6693.32,4544.73,10149.75,2.2333,2.5631,Watts Inc (Mali),Low,76543.03,0.087445,1073.67,304.71,320.49,Facultative,EUR,Thomas Berry,Settled,Storm,2013-12-21,0.0,Lockton,6693.32,4544.73,10149.75,Africa
AFR-POL-2009-000069-4E62,2009-02-06,Africa,West Africa,Cameroon,Terrorism,431177.9,141691.13,112148.53,0.7915,1.0015,Mitchell-Cowan (Cameroon),Medium,3944660.2,0.109307,208521.28,28594.56,20976.29,Stop Loss,USD,Craig Gonzalez,Closed,Storm,2011-04-14,0.0,Regional Partners,431177.9,141691.13,112148.53,Africa
AFR-POL-2025-000070-1A87,2025-11-13,Africa,West Africa,Senegal,Microinsurance,5574.81,1982.85,1680.27,0.8474,1.1966,Coleman-Lawson (Senegal),Low,50396.69,0.110619,2003.73,415.17,935915.32,Quota Share,USD,James Jones,Settled,Mortality,2026-10-25,0.0,Marsh,5574.81,1982.85,1680.27,Africa
AFR-POL-2015-000071-6CD3,2015-07-13,Africa,East Africa,Rwanda,Agriculture,27415.15,17124.95,0.0,,,Nunez-Gonzalez (Rwanda),High,405579.69,0.067595,10146.22,1609.0,3110.55,Aggregate XL,USD,Kelsey Pacheco,,,,0.0,Regional Partners,27415.15,17124.95,0.0,Africa
AFR-POL-2006-000072-8FBA,2006-11-26,Africa,West Africa,Nigeria,Energy,96650.41,48516.87,0.0,,,Continental Insurers of Nigeria,Specialty,1569795.86,0.061569,18667.43,4793.25,2378405.46,Excess of Loss,NGN,Angel Benson,,,,0.0,Willis Towers Watson,96650.41,48516.87,0.0,Africa
AFR-POL-2007-000073-A2BF,2007-11-23,Africa,East Africa,Kenya,Professional Indemnity,296356.1,170712.23,0.0,,,Warren-Gallagher (Kenya),Catastrophic,6547440.05,0.045263,98553.58,8268.02,18817.57,Aggregate XL,USD,Hannah Pitts,,,,0.0,African Risk Capacity,296356.1,170712.23,0.0,Africa
AFR-POL-2015-000074-00BE,2015-05-04,Africa,North Africa,Algeria,Engineering,51382.29,9730.65,8447.18,0.8681,1.1559,Continental Holdings  Algeria,Emerging,944697.16,0.05439,34126.96,7490.84,8581.31,Surplus,EUR,Sydney Parsons,Settled,Business Interruption,2017-06-25,0.0,Local Broker Network,51382.29,9730.65,8447.18,Africa
AFR-POL-2024-000075-1D6F,2024-09-27,Africa,Southern Africa,Madagascar,Life,24349.93,11745.86,9712.65,0.8269,1.0661,Guardian Group of Madagascar,Catastrophic,1173427.56,0.020751,11864.14,1432.48,11705.29,Aggregate XL,EUR,Tanya Lamb,Denied,Earthquake,,0.0,Aon,24349.93,11745.86,9712.65,Africa
AFR-POL-2013-000076-DE44,2013-03-23,Africa,North Africa,Tunisia,Catastrophe,11789.71,6303.6,17225.22,2.7326,2.9695,Ubuntu Insurers of Tunisia,High,234549.83,0.050265,5440.02,1507.36,103212.88,Excess of Loss,EUR,Thomas Berry,Settled,Political Violence,2013-09-29,0.0,Jubilee Brokers,11789.71,6303.6,17225.22,Africa
AFR-POL-2016-000077-E17E,2016-01-02,Africa,Southern Africa,Zimbabwe,Property,4390.74,1620.55,0.0,,,Ubuntu Underwriters  Zimbabwe,Low,107820.34,0.040723,2396.89,582.51,572.66,Surplus,ZAR,Mary Jackson,,,,0.0,Howden,4390.74,1620.55,0.0,Africa
AFR-POL-2014-000078-B97F,2014-06-12,Africa,Central Africa,Angola,Motor,59554.96,30442.21,31255.02,1.0267,1.4045,"Franco, Turner and Glenn (Angola)",Specialty,4407460.58,0.013512,15133.16,4475.57,53713.03,Surplus,EUR,William Wallace,Pending,Crop Failure,,28322.61,Aon,59554.96,30442.21,31255.02,Africa
AFR-POL-2023-000079-7CC9,2023-04-23,Africa,Southern Africa,Zambia,Professional Indemnity,13624.82,4110.43,1477.29,0.3594,0.7029,Nile Insurance  Zambia,Specialty,810261.2,0.016815,8116.27,1576.5,6100.95,Surplus,EUR,Craig Gonzalez,Pending,Drought,,2353.82,Jubilee Brokers,13624.82,4110.43,1477.29,Africa
AFR-POL-2013-000080-2D89,2013-01-27,Africa,East Africa,Kenya,Casualty,68565.61,27696.89,27010.01,0.9752,1.2648,Walker-Rose (Kenya),Low,8157272.35,0.008405,25362.64,6122.29,82824.4,Proportional,KES,Mark Villanueva,Closed,Drought,2013-07-20,0.0,Lockton,68565.61,27696.89,27010.01,Africa
